tissue_type,immune_cell_type,cell_count,percent
Ctrl,Classical Monocytes,311,10.457296570275723
Ctrl,Non-Classical Monocytes,66,2.219233355749832
Ctrl,Tissue Resident Macrophages,454,15.265635507733691
Ctrl,cDC1,18,0.605245460659045
Ctrl,cDC2,266,8.94418291862811
Ctrl,pDC,13,0.4371217215870881
Ctrl,CD16+ NK cells,241,8.103564223268325
Ctrl,CD16- NK cells,646,21.72158708809684
Ctrl,CD4 T cells,357,12.004034969737727
Ctrl,CD8 T cells,50,1.6812373907195695
Ctrl,Tregs,27,0.9078681909885675
Ctrl,γδ T cells,392,13.180901143241424
Ctrl,B cells,133,4.472091459314055
EcO,Classical Monocytes,187,4.602510460251046
EcO,Non-Classical Monocytes,44,1.0829436377061286
EcO,Tissue Resident Macrophages,1037,25.523012552301257
EcO,cDC1,36,0.8860447944868325
EcO,cDC2,128,3.150381491508737
EcO,pDC,48,1.1813930593157764
EcO,CD16+ NK cells,249,6.128476495200591
EcO,CD16- NK cells,517,12.724587743047008
EcO,CD4 T cells,747,18.385429485601772
EcO,CD8 T cells,47,1.1567807039133646
EcO,Tregs,38,0.9352695052916564
EcO,γδ T cells,844,20.772827959635737
EcO,B cells,141,3.470342111740093
EcP,Classical Monocytes,1999,17.334373916059658
EcP,Non-Classical Monocytes,251,2.1765522025667705
EcP,Tissue Resident Macrophages,1199,10.39715574054804
EcP,cDC1,58,0.5029483177245924
EcP,cDC2,1081,9.373916059660075
EcP,pDC,69,0.5983350676378771
EcP,CD16+ NK cells,1319,11.437738466874784
EcP,CD16- NK cells,1008,8.74089490114464
EcP,CD4 T cells,1858,16.111689212625738
EcP,CD8 T cells,69,0.5983350676378771
EcP,Tregs,223,1.933749566423864
EcP,γδ T cells,1903,16.501907734998266
EcP,B cells,495,4.292403746097815
EuE,Classical Monocytes,983,10.555137979168903
EuE,Non-Classical Monocytes,187,2.00794588210029
EuE,Tissue Resident Macrophages,962,10.329646730376894
EuE,cDC1,53,0.5690969612369806
EuE,cDC2,402,4.316546762589928
EuE,pDC,76,0.8160635670568023
EuE,CD16+ NK cells,521,5.594330505744658
EuE,CD16- NK cells,2277,24.449693976162354
EuE,CD4 T cells,1446,15.526683131107056
EuE,CD8 T cells,198,2.126060345753248
EuE,Tregs,208,2.233437130892301
EuE,γδ T cells,1450,15.569633845162675
EuE,B cells,550,5.905723182647912
