ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
B2M,B2M,5.1716204,1.0,KLRD1,KLRD1,2.4969904,0.970954356846473,Treg,NK-CD16+,3.8343053,0.0
B2M,B2M,5.1494274,1.0,KLRD1,KLRD1,2.4969904,0.970954356846473,NK-CD16+,NK-CD16+,3.8232088,0.0
B2M,B2M,5.0368896,1.0,KLRD1,KLRD1,2.4969904,0.970954356846473,γδ T,NK-CD16+,3.76694,0.0
B2M,B2M,5.1716204,1.0,KLRC1,KLRC1,2.1204865,0.8808049535603715,Treg,NK-CD16-,3.6460533,0.0
B2M,B2M,4.791028,1.0,KLRD1,KLRD1,2.4969904,0.970954356846473,CD8 T,NK-CD16+,3.644009,0.0
B2M,B2M,5.1494274,1.0,KLRC1,KLRC1,2.1204865,0.8808049535603715,NK-CD16+,NK-CD16-,3.6349568,0.0
B2M,B2M,4.7613416,0.9971988795518207,KLRD1,KLRD1,2.4969904,0.970954356846473,CD4 T,NK-CD16+,3.6291661,0.0
B2M,B2M,5.0368896,1.0,KLRC1,KLRC1,2.1204865,0.8808049535603715,γδ T,NK-CD16-,3.5786881,0.0
B2M,B2M,4.651312,1.0,KLRD1,KLRD1,2.4969904,0.970954356846473,NK-CD16-,NK-CD16+,3.574151,0.0
B2M,B2M,5.1716204,1.0,KLRD1,KLRD1,1.8809955,0.8513931888544891,Treg,NK-CD16-,3.526308,0.0
B2M,B2M,5.1494274,1.0,KLRD1,KLRD1,1.8809955,0.8513931888544891,NK-CD16+,NK-CD16-,3.5152116,0.0
S100A9,S100A9,4.890816,1.0,ITGB2,ITGB2,2.1123059,0.9646302250803859,Mono-C,Mono-C,3.5015612,0.0
B2M,B2M,4.481392,1.0,KLRD1,KLRD1,2.4969904,0.970954356846473,Mono-NC,NK-CD16+,3.489191,0.0
S100A9,S100A9,4.890816,1.0,ITGB2,ITGB2,2.077828,1.0,Mono-C,Mono-NC,3.484322,0.0
