ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
B2M,B2M,4.84326,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,Treg,NK-CD16+,3.9295738,0.0
B2M,B2M,4.8186245,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,NK-CD16+,NK-CD16+,3.917256,0.0
B2M,B2M,4.7949347,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,γδ T,NK-CD16+,3.9054112,0.0
B2M,B2M,4.665395,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,pDC,NK-CD16+,3.8406413,0.0
B2M,B2M,4.635315,0.998661311914324,KLRD1,KLRD1,3.0158877,0.9919678714859438,CD4 T,NK-CD16+,3.8256013,0.0
B2M,B2M,4.5732665,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,cDC1,NK-CD16+,3.7945771,0.0
B2M,B2M,4.535452,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,CD8 T,NK-CD16+,3.7756698,0.0
B2M,B2M,4.469865,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,Mono-NC,NK-CD16+,3.7428763,0.0
B2M,B2M,4.84326,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,Treg,NK-CD16-,3.7315965,0.0
B2M,B2M,4.423812,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,NK-CD16-,NK-CD16+,3.7198498,0.0
B2M,B2M,4.8186245,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,NK-CD16+,NK-CD16-,3.7192788,0.0
B2M,B2M,4.7949347,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,γδ T,NK-CD16-,3.7074342,0.0
B2M,B2M,4.377299,0.9990356798457087,KLRD1,KLRD1,3.0158877,0.9919678714859438,TRM,NK-CD16+,3.6965933,0.0
B2M,B2M,4.3562927,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,B,NK-CD16+,3.6860902,0.0
B2M,B2M,4.309283,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,Mono-C,NK-CD16+,3.6625853,0.0
B2M,B2M,4.665395,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,pDC,NK-CD16-,3.642664,0.0
B2M,B2M,4.635315,0.998661311914324,KLRD1,KLRD1,2.6199334,0.9381044487427466,CD4 T,NK-CD16-,3.627624,0.0
B2M,B2M,4.1776814,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,cDC2,NK-CD16+,3.5967846,0.0
B2M,B2M,4.5732665,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,cDC1,NK-CD16-,3.5966,0.0
B2M,B2M,4.535452,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,CD8 T,NK-CD16-,3.5776925,0.0
B2M,B2M,4.469865,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,Mono-NC,NK-CD16-,3.544899,0.0
B2M,B2M,4.423812,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,NK-CD16-,NK-CD16-,3.5218725,0.0
B2M,B2M,4.377299,0.9990356798457087,KLRD1,KLRD1,2.6199334,0.9381044487427466,TRM,NK-CD16-,3.4986162,0.0
B2M,B2M,4.3562927,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,B,NK-CD16-,3.488113,0.0
B2M,B2M,4.309283,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,Mono-C,NK-CD16-,3.4646082,0.0
B2M,B2M,4.1776814,1.0,KLRD1,KLRD1,2.6199334,0.9381044487427466,cDC2,NK-CD16-,3.3988075,0.0
B2M,B2M,4.84326,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,Treg,NK-CD16-,3.3128974,0.0
B2M,B2M,4.8186245,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,NK-CD16+,NK-CD16-,3.3005798,0.0
B2M,B2M,4.7949347,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,γδ T,NK-CD16-,3.288735,0.0
APP,APP,1.5152502,0.9375,CD74,CD74,4.9635663,1.0,pDC,cDC1,3.2394083,0.0
B2M,B2M,4.665395,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,pDC,NK-CD16-,3.223965,0.0
B2M,B2M,4.635315,0.998661311914324,KLRC1,KLRC1,1.7825352,0.7253384912959381,CD4 T,NK-CD16-,3.208925,0.0
B2M,B2M,4.5732665,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,cDC1,NK-CD16-,3.1779008,0.0
HLA-B,HLA-B,3.3321362,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,cDC1,NK-CD16+,3.174012,0.0
B2M,B2M,4.535452,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,CD8 T,NK-CD16-,3.1589935,0.0
B2M,B2M,4.469865,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,Mono-NC,NK-CD16-,3.1262,0.0
B2M,B2M,4.423812,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,NK-CD16-,NK-CD16-,3.1031735,0.0
B2M,B2M,4.377299,0.9990356798457087,KLRC1,KLRC1,1.7825352,0.7253384912959381,TRM,NK-CD16-,3.079917,0.0
HLA-DRA,HLA-DRA,4.740449,1.0,CD4,CD4,1.398744,0.9583333333333334,cDC1,pDC,3.0695965,0.0
B2M,B2M,4.3562927,1.0,KLRC1,KLRC1,1.7825352,0.7253384912959381,B,NK-CD16-,3.069414,0.0
HLA-B,HLA-B,3.1194096,0.9922854387656702,KLRD1,KLRD1,3.0158877,0.9919678714859438,TRM,NK-CD16+,3.0676486,0.0
HLA-B,HLA-B,3.0909495,0.9959839357429718,KLRD1,KLRD1,3.0158877,0.9919678714859438,NK-CD16+,NK-CD16+,3.0534186,0.0
HLA-B,HLA-B,3.0848472,1.0,KLRD1,KLRD1,3.0158877,0.9919678714859438,Mono-C,NK-CD16+,3.0503674,0.0
S100A9,S100A9,3.6850774,0.946524064171123,CD68,CD68,2.4137654,0.9758919961427194,Mono-C,TRM,3.0494213,0.0
HLA-B,HLA-B,3.0818179,0.9976303317535545,KLRD1,KLRD1,3.0158877,0.9919678714859438,γδ T,NK-CD16+,3.048853,0.0
