ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
B2M,B2M,5.06733,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,Treg,NK-CD16+,3.832152,0.0
B2M,B2M,5.030957,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,NK-CD16+,NK-CD16+,3.8139653,0.0
B2M,B2M,4.935948,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,γδ T,NK-CD16+,3.766461,0.0
B2M,B2M,5.06733,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,Treg,NK-CD16-,3.753631,0.0
B2M,B2M,5.030957,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,NK-CD16+,NK-CD16-,3.7354445,0.0
B2M,B2M,4.935948,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,γδ T,NK-CD16-,3.6879401,0.0
B2M,B2M,5.06733,1.0,KLRC1,KLRC1,2.271095,0.8611111111111112,Treg,NK-CD16-,3.6692123,0.0
B2M,B2M,5.030957,1.0,KLRC1,KLRC1,2.271095,0.8611111111111112,NK-CD16+,NK-CD16-,3.6510262,0.0
B2M,B2M,4.671773,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,Mono-NC,NK-CD16+,3.6343732,0.0
B2M,B2M,4.635568,0.9994617868675996,KLRD1,KLRD1,2.5969737,0.956027293404094,CD4 T,NK-CD16+,3.616271,0.0
B2M,B2M,4.935948,1.0,KLRC1,KLRC1,2.271095,0.8611111111111112,γδ T,NK-CD16-,3.6035213,0.0
B2M,B2M,4.671773,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,Mono-NC,NK-CD16-,3.5558524,0.0
B2M,B2M,4.5048275,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,CD8 T,NK-CD16+,3.5509005,0.0
B2M,B2M,4.4967165,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,cDC1,NK-CD16+,3.546845,0.0
B2M,B2M,4.635568,0.9994617868675996,KLRD1,KLRD1,2.439932,0.9642857142857143,CD4 T,NK-CD16-,3.5377502,0.0
B2M,B2M,4.4184346,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,TRM,NK-CD16+,3.5077043,0.0
B2M,B2M,4.4108567,0.9990079365079365,KLRD1,KLRD1,2.5969737,0.956027293404094,NK-CD16-,NK-CD16+,3.5039153,0.0
B2M,B2M,4.3667626,0.9994997498749375,KLRD1,KLRD1,2.5969737,0.956027293404094,Mono-C,NK-CD16+,3.4818683,0.0
S100A9,S100A9,4.725987,0.9969984992496248,ITGB2,ITGB2,2.234081,0.9889944972486243,Mono-C,Mono-C,3.4800339,0.0
B2M,B2M,4.5048275,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,CD8 T,NK-CD16-,3.4723797,0.0
B2M,B2M,4.671773,1.0,KLRC1,KLRC1,2.271095,0.8611111111111112,Mono-NC,NK-CD16-,3.471434,0.0
B2M,B2M,4.4967165,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,cDC1,NK-CD16-,3.4683242,0.0
B2M,B2M,4.635568,0.9994617868675996,KLRC1,KLRC1,2.271095,0.8611111111111112,CD4 T,NK-CD16-,3.4533315,0.0
B2M,B2M,4.282367,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,pDC,NK-CD16+,3.4396706,0.0
B2M,B2M,4.4184346,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,TRM,NK-CD16-,3.4291835,0.0
B2M,B2M,4.4108567,0.9990079365079365,KLRD1,KLRD1,2.439932,0.9642857142857143,NK-CD16-,NK-CD16-,3.4253945,0.0
B2M,B2M,4.2294292,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,B,NK-CD16+,3.4132013,0.0
B2M,B2M,4.3667626,0.9994997498749375,KLRD1,KLRD1,2.439932,0.9642857142857143,Mono-C,NK-CD16-,3.4033475,0.0
B2M,B2M,4.5048275,1.0,KLRC1,KLRC1,2.271095,0.8611111111111112,CD8 T,NK-CD16-,3.3879614,0.0
B2M,B2M,4.4967165,1.0,KLRC1,KLRC1,2.271095,0.8611111111111112,cDC1,NK-CD16-,3.383906,0.0
B2M,B2M,4.282367,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,pDC,NK-CD16-,3.3611498,0.0
S100A9,S100A9,4.725987,0.9969984992496248,ITGB2,ITGB2,1.9900063,1.0,Mono-C,Mono-NC,3.3579967,0.0
S100A9,S100A9,4.725987,0.9969984992496248,CD68,CD68,1.9647033,0.9666388657214345,Mono-C,TRM,3.345345,0.0
B2M,B2M,4.4184346,1.0,KLRC1,KLRC1,2.271095,0.8611111111111112,TRM,NK-CD16-,3.3447647,0.0
B2M,B2M,4.4108567,0.9990079365079365,KLRC1,KLRC1,2.271095,0.8611111111111112,NK-CD16-,NK-CD16-,3.3409758,0.0
B2M,B2M,4.2294292,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,B,NK-CD16-,3.3346806,0.0
APP,APP,1.8203402,0.9710144927536232,CD74,CD74,4.8465633,1.0,pDC,cDC1,3.3334517,0.0
B2M,B2M,4.0692058,0.9990749306197965,KLRD1,KLRD1,2.5969737,0.956027293404094,cDC2,NK-CD16+,3.3330898,0.0
B2M,B2M,4.3667626,0.9994997498749375,KLRC1,KLRC1,2.271095,0.8611111111111112,Mono-C,NK-CD16-,3.3189287,0.0
S100A9,S100A9,4.725987,0.9969984992496248,ITGB2,ITGB2,1.8552173,0.9287338893100834,Mono-C,NK-CD16+,3.2906022,0.0
S100A9,S100A9,4.725987,0.9969984992496248,ITGB2,ITGB2,1.8548285,0.9740980573543015,Mono-C,cDC2,3.2904077,0.0
B2M,B2M,4.282367,1.0,KLRC1,KLRC1,2.271095,0.8611111111111112,pDC,NK-CD16-,3.276731,0.0
S100A9,S100A9,4.725987,0.9969984992496248,ITGB2,ITGB2,1.824111,0.9557964970809008,Mono-C,TRM,3.275049,0.0
B2M,B2M,4.0692058,0.9990749306197965,KLRD1,KLRD1,2.439932,0.9642857142857143,cDC2,NK-CD16-,3.254569,0.0
B2M,B2M,4.2294292,1.0,KLRC1,KLRC1,2.271095,0.8611111111111112,B,NK-CD16-,3.2502623,0.0
S100A8,S100A8,4.200948,0.9919959979989995,ITGB2,ITGB2,2.234081,0.9889944972486243,Mono-C,Mono-C,3.2175145,0.0
S100A9,S100A9,4.725987,0.9969984992496248,CD68,CD68,1.6921507,0.9760956175298805,Mono-C,Mono-NC,3.2090688,0.0
B2M,B2M,5.06733,1.0,CD1C,CD1C,1.3113899,0.849213691026827,Treg,cDC2,3.18936,0.0
B2M,B2M,5.030957,1.0,CD1C,CD1C,1.3113899,0.849213691026827,NK-CD16+,cDC2,3.1711736,0.0
B2M,B2M,4.0692058,0.9990749306197965,KLRC1,KLRC1,2.271095,0.8611111111111112,cDC2,NK-CD16-,3.1701503,0.0
S100A9,S100A9,4.725987,0.9969984992496248,CD36,CD36,1.5478277,0.9224612306153076,Mono-C,Mono-C,3.1369073,0.0
B2M,B2M,4.935948,1.0,CD1C,CD1C,1.3113899,0.849213691026827,γδ T,cDC2,3.123669,0.0
S100A8,S100A8,4.200948,0.9919959979989995,ITGB2,ITGB2,1.9900063,1.0,Mono-C,Mono-NC,3.0954773,0.0
S100A9,S100A9,4.725987,0.9969984992496248,CD68,CD68,1.4645904,0.927463731865933,Mono-C,Mono-C,3.0952888,0.0
S100A8,S100A8,4.200948,0.9919959979989995,CD68,CD68,1.9647033,0.9666388657214345,Mono-C,TRM,3.0828257,0.0
HLA-B,HLA-B,3.5457726,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,Treg,NK-CD16+,3.071373,0.0
HLA-B,HLA-B,3.50164,0.9984836997725549,KLRD1,KLRD1,2.5969737,0.956027293404094,NK-CD16+,NK-CD16+,3.0493069,0.0
S100A8,S100A8,4.200948,0.9919959979989995,CD69,CD69,1.8960674,0.9130434782608695,Mono-C,CD8 T,3.0485077,0.0
HLA-DRA,HLA-DRA,4.7780585,1.0,CD4,CD4,1.2868184,0.8985507246376812,cDC1,pDC,3.0324385,0.0
S100A8,S100A8,4.200948,0.9919959979989995,ITGB2,ITGB2,1.8552173,0.9287338893100834,Mono-C,NK-CD16+,3.0280828,0.0
S100A8,S100A8,4.200948,0.9919959979989995,ITGB2,ITGB2,1.8548285,0.9740980573543015,Mono-C,cDC2,3.0278883,0.0
APP,APP,1.8203402,0.9710144927536232,CD74,CD74,4.2179084,0.9972247918593895,pDC,cDC2,3.0191243,0.0
S100A8,S100A8,4.200948,0.9919959979989995,ITGB2,ITGB2,1.824111,0.9557964970809008,Mono-C,TRM,3.0125296,0.0
HLA-B,HLA-B,3.5457726,1.0,KLRD1,KLRD1,2.439932,0.9642857142857143,Treg,NK-CD16-,2.9928522,0.0
B2M,B2M,4.671773,1.0,CD1C,CD1C,1.3113899,0.849213691026827,Mono-NC,cDC2,2.9915814,0.0
B2M,B2M,4.635568,0.9994617868675996,CD1C,CD1C,1.3113899,0.849213691026827,CD4 T,cDC2,2.973479,0.0
HLA-B,HLA-B,3.3473277,0.9978980557015239,KLRD1,KLRD1,2.5969737,0.956027293404094,γδ T,NK-CD16+,2.9721508,0.0
HLA-B,HLA-B,3.50164,0.9984836997725549,KLRD1,KLRD1,2.439932,0.9642857142857143,NK-CD16+,NK-CD16-,2.970786,0.0
HLA-B,HLA-B,3.343583,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,cDC1,NK-CD16+,2.9702783,0.0
B2M,B2M,5.06733,1.0,KLRD1,KLRD1,0.8507731,0.44088281660535994,Treg,γδ T,2.9590516,0.0
HLA-B,HLA-B,3.5457726,1.0,CD3D,CD3D,2.3603535,0.9679453494482396,Treg,γδ T,2.953063,0.0
HLA-B,HLA-B,3.306893,1.0,KLRD1,KLRD1,2.5969737,0.956027293404094,Mono-NC,NK-CD16+,2.9519334,0.0
S100A8,S100A8,4.200948,0.9919959979989995,CD68,CD68,1.6921507,0.9760956175298805,Mono-C,Mono-NC,2.9465494,0.0
B2M,B2M,5.030957,1.0,KLRD1,KLRD1,0.8507731,0.44088281660535994,NK-CD16+,γδ T,2.940865,0.0
S100A9,S100A9,4.725987,0.9969984992496248,CD68,CD68,1.1541523,0.8840579710144928,Mono-C,pDC,2.9400697,0.0
HLA-B,HLA-B,3.2722018,0.9994997498749375,KLRD1,KLRD1,2.5969737,0.956027293404094,Mono-C,NK-CD16+,2.9345877,0.0
HLA-B,HLA-B,3.5457726,1.0,CD3D,CD3D,2.3194554,0.9730941704035875,Treg,Treg,2.9326138,0.0
HLA-B,HLA-B,3.50164,0.9984836997725549,CD3D,CD3D,2.3603535,0.9679453494482396,NK-CD16+,γδ T,2.930997,0.0
HLA-DRA,HLA-DRA,4.7780585,1.0,CD4,CD4,1.0593473,0.8707256046705588,cDC1,TRM,2.9187028,0.0
HLA-B,HLA-B,3.50164,0.9984836997725549,CD3D,CD3D,2.3194554,0.9730941704035875,NK-CD16+,Treg,2.9105477,0.0
S100A9,S100A9,4.725987,0.9969984992496248,ITGB2,ITGB2,1.0946053,0.7041513399894903,Mono-C,γδ T,2.9102962,0.0
B2M,B2M,4.5048275,1.0,CD1C,CD1C,1.3113899,0.849213691026827,CD8 T,cDC2,2.9081087,0.0
B2M,B2M,5.06733,1.0,KLRC2,KLRC2,0.745135,0.44742063492063494,Treg,NK-CD16-,2.9062324,0.0
B2M,B2M,4.4967165,1.0,CD1C,CD1C,1.3113899,0.849213691026827,cDC1,cDC2,2.9040532,0.0
HLA-B,HLA-B,3.3473277,0.9978980557015239,KLRD1,KLRD1,2.439932,0.9642857142857143,γδ T,NK-CD16-,2.89363,0.0
B2M,B2M,4.935948,1.0,KLRD1,KLRD1,0.8507731,0.44088281660535994,γδ T,γδ T,2.8933606,0.0
S100A9,S100A9,4.725987,0.9969984992496248,ITGB2,ITGB2,1.0590366,0.8103448275862069,Mono-C,cDC1,2.8925118,0.0
