ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
B2M,B2M,5.0863523,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,Treg,NK-CD16+,3.8127272,0.0
B2M,B2M,5.0863523,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,Treg,NK-CD16-,3.7662854,0.0
B2M,B2M,5.0863523,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,Treg,NK-CD16-,3.7506816,0.0
B2M,B2M,4.8582883,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,NK-CD16+,NK-CD16+,3.6986952,0.0
B2M,B2M,4.800268,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,γδ T,NK-CD16+,3.6696851,0.0
B2M,B2M,4.8582883,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,NK-CD16+,NK-CD16-,3.6522536,0.0
B2M,B2M,4.8582883,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,NK-CD16+,NK-CD16-,3.6366496,0.0
B2M,B2M,4.800268,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,γδ T,NK-CD16-,3.6232433,0.0
B2M,B2M,4.800268,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,γδ T,NK-CD16-,3.6076396,0.0
B2M,B2M,4.5919514,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,CD4 T,NK-CD16+,3.5655267,0.0
B2M,B2M,4.557631,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,CD8 T,NK-CD16+,3.5483665,0.0
B2M,B2M,4.5144343,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,Mono-NC,NK-CD16+,3.5267682,0.0
B2M,B2M,4.5919514,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,CD4 T,NK-CD16-,3.519085,0.0
B2M,B2M,4.5919514,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,CD4 T,NK-CD16-,3.5034811,0.0
B2M,B2M,4.557631,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,CD8 T,NK-CD16-,3.501925,0.0
B2M,B2M,4.4525433,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,cDC1,NK-CD16+,3.4958227,0.0
B2M,B2M,4.557631,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,CD8 T,NK-CD16-,3.486321,0.0
B2M,B2M,4.5144343,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,Mono-NC,NK-CD16-,3.4803267,0.0
B2M,B2M,4.5144343,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,Mono-NC,NK-CD16-,3.4647226,0.0
B2M,B2M,4.3668585,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,pDC,NK-CD16+,3.4529803,0.0
B2M,B2M,4.4525433,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,cDC1,NK-CD16-,3.4493809,0.0
B2M,B2M,4.4525433,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,cDC1,NK-CD16-,3.433777,0.0
B2M,B2M,4.303549,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,Mono-C,NK-CD16+,3.4213254,0.0
B2M,B2M,4.3668585,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,pDC,NK-CD16-,3.4065385,0.0
S100A9,S100A9,4.607301,0.9969481180061037,ITGB2,ITGB2,2.2032926,0.9796541200406917,Mono-C,Mono-C,3.4052968,0.0
B2M,B2M,4.2664847,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,TRM,NK-CD16+,3.4027934,0.0
B2M,B2M,4.3668585,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,pDC,NK-CD16-,3.3909347,0.0
B2M,B2M,4.303549,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,Mono-C,NK-CD16-,3.3748837,0.0
S100A9,S100A9,4.607301,0.9969481180061037,CD68,CD68,2.1410682,0.975051975051975,Mono-C,TRM,3.3741846,0.0
B2M,B2M,4.303549,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,Mono-C,NK-CD16-,3.3592799,0.0
B2M,B2M,4.2664847,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,TRM,NK-CD16-,3.3563519,0.0
B2M,B2M,4.170635,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,B,NK-CD16+,3.3548687,0.0
B2M,B2M,4.2664847,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,TRM,NK-CD16-,3.3407478,0.0
B2M,B2M,4.141596,0.9995608256477821,KLRD1,KLRD1,2.539102,0.963531669865643,NK-CD16-,NK-CD16+,3.340349,0.0
S100A9,S100A9,4.607301,0.9969481180061037,ITGB2,ITGB2,2.0387452,1.0,Mono-C,Mono-NC,3.3230233,0.0
B2M,B2M,4.099952,0.9975124378109452,KLRD1,KLRD1,2.539102,0.963531669865643,cDC2,NK-CD16+,3.3195271,0.0
B2M,B2M,4.170635,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,B,NK-CD16-,3.3084269,0.0
B2M,B2M,4.141596,0.9995608256477821,KLRD1,KLRD1,2.4462187,0.9547650417215635,NK-CD16-,NK-CD16-,3.2939072,0.0
B2M,B2M,4.170635,1.0,KLRC1,KLRC1,2.415011,0.8954765041721563,B,NK-CD16-,3.292823,0.0
B2M,B2M,4.141596,0.9995608256477821,KLRC1,KLRC1,2.415011,0.8954765041721563,NK-CD16-,NK-CD16-,3.2783034,0.0
B2M,B2M,4.099952,0.9975124378109452,KLRD1,KLRD1,2.4462187,0.9547650417215635,cDC2,NK-CD16-,3.2730856,0.0
B2M,B2M,4.099952,0.9975124378109452,KLRC1,KLRC1,2.415011,0.8954765041721563,cDC2,NK-CD16-,3.2574816,0.0
S100A9,S100A9,4.607301,0.9969481180061037,ITGB2,ITGB2,1.87833,0.9490644490644491,Mono-C,TRM,3.2428155,0.0
S100A9,S100A9,4.607301,0.9969481180061037,ITGB2,ITGB2,1.8557588,0.9527363184079602,Mono-C,cDC2,3.23153,0.0
S100A9,S100A9,4.607301,0.9969481180061037,ITGB2,ITGB2,1.8429568,0.9097888675623801,Mono-C,NK-CD16+,3.2251291,0.0
APP,APP,1.5960888,0.9605263157894737,CD74,CD74,4.8439107,1.0,pDC,cDC1,3.2199998,0.0
S100A9,S100A9,4.607301,0.9969481180061037,CD68,CD68,1.7322192,0.9946524064171123,Mono-C,Mono-NC,3.1697602,0.0
HLA-B,HLA-B,3.6747324,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,Treg,NK-CD16+,3.1069174,0.0
S100A9,S100A9,4.607301,0.9969481180061037,CD36,CD36,1.5925909,0.9277721261444557,Mono-C,Mono-C,3.099946,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,ITGB2,ITGB2,2.2032926,0.9796541200406917,Mono-C,Mono-C,3.0997448,0.0
HLA-B,HLA-B,3.6266181,1.0,KLRD1,KLRD1,2.539102,0.963531669865643,γδ T,NK-CD16+,3.08286,0.0
HLA-B,HLA-B,3.6747324,1.0,CD3D,CD3D,2.4646685,0.9759615384615384,Treg,Treg,3.0697005,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,CD68,CD68,2.1410682,0.975051975051975,Mono-C,TRM,3.0686326,0.0
HLA-B,HLA-B,3.6747324,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,Treg,NK-CD16-,3.0604756,0.0
HLA-B,HLA-B,3.6266181,1.0,CD3D,CD3D,2.4646685,0.9759615384615384,γδ T,Treg,3.0456433,0.0
HLA-B,HLA-B,3.6266181,1.0,KLRD1,KLRD1,2.4462187,0.9547650417215635,γδ T,NK-CD16-,3.0364184,0.0
HLA-B,HLA-B,3.516143,0.9980806142034548,KLRD1,KLRD1,2.539102,0.963531669865643,NK-CD16+,NK-CD16+,3.0276227,0.0
HLA-DRA,HLA-DRA,4.9169207,1.0,CD4,CD4,1.1303284,0.8289473684210527,cDC1,pDC,3.0236244,0.0
S100A8,S100A8,3.9961972,0.9969481180061037,ITGB2,ITGB2,2.0387452,1.0,Mono-C,Mono-NC,3.0174713,0.0
B2M,B2M,5.0863523,1.0,KLRC2,KLRC2,0.9377544,0.5911286780851999,Treg,NK-CD16-,3.0120535,0.0
