source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0002376,immune system process,1.4288688651881784e-134,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2913,389,267,20972,0.6863753213367609,0.09165808444902163,query_1,['GO:0008150']
GO:CC,GO:0009986,cell surface,3.9731801418428565e-128,True,"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]",904,393,169,22155,0.4300254452926209,0.18694690265486727,query_1,['GO:0110165']
GO:BP,GO:0006955,immune response,4.796230601877799e-124,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2118,389,229,20972,0.5886889460154242,0.10812086874409821,query_1,"['GO:0002376', 'GO:0050896']"
GO:CC,GO:0071944,cell periphery,2.3753139367689772e-120,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6263,393,333,22155,0.8473282442748091,0.05316940763212518,query_1,['GO:0110165']
GO:BP,GO:0001775,cell activation,2.8442833181802243e-115,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1123,389,175,20972,0.4498714652956298,0.1558325912733749,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0045321,leukocyte activation,5.037206312345981e-111,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",975,389,163,20972,0.4190231362467866,0.1671794871794872,query_1,"['GO:0001775', 'GO:0002376']"
GO:BP,GO:0002682,regulation of immune system process,8.321694386640925e-111,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,389,195,20972,0.5012853470437018,0.12233375156838143,query_1,"['GO:0002376', 'GO:0050789']"
GO:CC,GO:0005886,plasma membrane,3.566605261521365e-109,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",5906,393,316,22155,0.8040712468193384,0.05350491026075178,query_1,"['GO:0016020', 'GO:0071944']"
GO:BP,GO:0002684,positive regulation of immune system process,8.02734087812351e-103,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1111,389,164,20972,0.42159383033419023,0.1476147614761476,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
GO:BP,GO:0007155,cell adhesion,1.4569147892372673e-101,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1512,389,183,20972,0.4704370179948586,0.12103174603174603,query_1,['GO:0009987']
GO:BP,GO:0048584,positive regulation of response to stimulus,3.0837111024808774e-99,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2320,389,214,20972,0.5501285347043702,0.09224137931034483,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,2.5115555525633866e-96,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2834,389,229,20972,0.5886889460154242,0.0808045165843331,query_1,['GO:0007165']
GO:BP,GO:0050896,response to stimulus,2.9131713419616766e-96,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,389,362,20972,0.9305912596401028,0.03999558059882886,query_1,['GO:0008150']
GO:BP,GO:0009605,response to external stimulus,2.773309440734094e-95,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,389,214,20972,0.5501285347043702,0.08817470127729707,query_1,['GO:0050896']
