ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,6.708334,0.7916666666666666,cDC2_SEN_DYS,TRM_SEN_DYS,175.13991,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,4.0476193,0.8095238095238095,cDC2_SEN_DYS,cDC2_SEN_DYS,173.80954,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,2.6857138,0.6285714285714286,cDC2_SEN_DYS,cDC2_Other,173.12859,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,2.3333337,0.8703703703703703,cDC2_SEN_DYS,Mono-NC_Other,172.95241,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,LAG3,LAG3,2.1111114,0.75,cDC2_SEN_DYS,γδ T_SEN_DYS,172.8413,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,2.079069,0.7255813953488373,cDC2_SEN_DYS,TRM_Other,172.82527,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,1.925,0.75,cDC2_SEN_DYS,Mono-C_SEN_DYS,172.74823,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,1.7859782,0.7564575645756457,cDC2_SEN_DYS,Mono-C_Other,172.67873,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,1.6363636,0.6363636363636364,cDC2_SEN_DYS,Treg_Other,172.60391,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,LAG3,LAG3,0.9705883,0.5588235294117647,cDC2_SEN_DYS,CD4 T_SEN_DYS,172.27103,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,LAG3,LAG3,0.6235954,0.3848314606741573,cDC2_SEN_DYS,γδ T_Other,172.09753,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,0.45201248,0.29102167182662536,cDC2_SEN_DYS,CD4 T_Other,172.01175,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,0.2647059,0.17647058823529413,cDC2_SEN_DYS,CD4 T_SEN_DYS,171.91809,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,LAG3,LAG3,0.2444445,0.19555555555555557,cDC2_SEN_DYS,NK-CD16+_Other,171.90796,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,CD4,CD4,0.19444445,0.1111111111111111,cDC2_SEN_DYS,γδ T_SEN_DYS,171.88297,0.0
HLA-DRA,HLA-DRA,343.57147,1.0,LAG3,LAG3,0.1609907,0.10835913312693499,cDC2_SEN_DYS,CD4 T_Other,171.86623,0.0
B2M,B2M,330.25003,1.0,KLRD1,KLRD1,6.737776,0.9688888888888889,TRM_SEN_DYS,NK-CD16+_Other,168.4939,0.0
B2M,B2M,330.25003,1.0,CD1C,CD1C,6.6612277,0.6326530612244898,TRM_SEN_DYS,cDC2_Other,168.45563,0.0
