ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
APP,APP,6.173913,0.9347826086956522,CD74,CD74,333.09088,1.0,pDC_Other,cDC1_Other,169.6324,0.0
COPA,COPA,1.6521736,0.7608695652173914,CD74,CD74,333.09088,1.0,pDC_Other,cDC1_Other,167.37152,0.0
COPA,COPA,1.5806451,0.8064516129032258,CD74,CD74,333.09088,1.0,Mono-C_SEN_DYS,cDC1_Other,167.33577,0.0
COPA,COPA,1.5009593,0.689922480620155,CD74,CD74,333.09088,1.0,TRM_Other,cDC1_Other,167.29591,0.0
APP,APP,1.2248033,0.6133720930232558,CD74,CD74,333.09088,1.0,TRM_Other,cDC1_Other,167.15784,0.0
COPA,COPA,1.2115387,0.6538461538461539,CD74,CD74,333.09088,1.0,Mono-C_Other,cDC1_Other,167.15121,0.0
APP,APP,1.1858976,0.5769230769230769,CD74,CD74,333.09088,1.0,Mono-C_Other,cDC1_Other,167.13838,0.0
APP,APP,1.1801801,0.4774774774774775,CD74,CD74,333.09088,1.0,cDC2_Other,cDC1_Other,167.13553,0.0
COPA,COPA,1.0990988,0.6036036036036037,CD74,CD74,333.09088,1.0,cDC2_Other,cDC1_Other,167.09499,0.0
COPA,COPA,1.0238098,0.5238095238095238,CD74,CD74,333.09088,1.0,Mono-NC_Other,cDC1_Other,167.05734,0.0
APP,APP,0.9999999,0.5483870967741935,CD74,CD74,333.09088,1.0,Mono-C_SEN_DYS,cDC1_Other,167.04544,0.0
COPA,COPA,0.9696969,0.5454545454545454,CD74,CD74,333.09088,1.0,cDC1_Other,cDC1_Other,167.03029,0.0
APP,APP,0.87878793,0.5151515151515151,CD74,CD74,333.09088,1.0,cDC1_Other,cDC1_Other,166.98483,0.0
APP,APP,0.5227273,0.38636363636363635,CD74,CD74,333.09088,1.0,CD8 T_Other,cDC1_Other,166.80681,0.0
APP,APP,0.42857143,0.3333333333333333,CD74,CD74,333.09088,1.0,Mono-NC_Other,cDC1_Other,166.75972,0.0
COPA,COPA,0.38636366,0.2727272727272727,CD74,CD74,333.09088,1.0,CD8 T_Other,cDC1_Other,166.73862,0.0
COPA,COPA,0.37246984,0.29959514170040485,CD74,CD74,333.09088,1.0,NK-CD16-_Other,cDC1_Other,166.73167,0.0
COPA,COPA,0.34782606,0.34782608695652173,CD74,CD74,333.09088,1.0,NK-CD16-_SEN_DYS,cDC1_Other,166.71936,0.0
COPA,COPA,0.31428573,0.22857142857142856,CD74,CD74,333.09088,1.0,Treg_Other,cDC1_Other,166.70259,0.0
APP,APP,0.31428573,0.17142857142857143,CD74,CD74,333.09088,1.0,Treg_Other,cDC1_Other,166.70259,0.0
COPA,COPA,0.30396494,0.27312775330396477,CD74,CD74,333.09088,1.0,NK-CD16+_Other,cDC1_Other,166.69742,0.0
COPA,COPA,0.30275235,0.23853211009174313,CD74,CD74,333.09088,1.0,γδ T_SEN_DYS,cDC1_Other,166.69682,0.0
COPA,COPA,0.2603651,0.22885572139303484,CD74,CD74,333.09088,1.0,CD4 T_Other,cDC1_Other,166.67563,0.0
COPA,COPA,0.23673502,0.20408163265306123,CD74,CD74,333.09088,1.0,γδ T_Other,cDC1_Other,166.6638,0.0
COPA,COPA,0.23015873,0.18253968253968253,CD74,CD74,333.09088,1.0,B_Other,cDC1_Other,166.66052,0.0
COPA,COPA,0.22727273,0.22727272727272727,CD74,CD74,333.09088,1.0,NK-CD16+_SEN_DYS,cDC1_Other,166.65907,0.0
COPA,COPA,0.1805556,0.16666666666666666,CD74,CD74,333.09088,1.0,CD4 T_SEN_DYS,cDC1_Other,166.63571,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,4.863351,0.9021317829457365,cDC1_Other,TRM_Other,160.18927,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,4.500001,0.9782608695652174,cDC1_Other,pDC_Other,160.0076,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,2.567569,0.8018018018018018,cDC1_Other,cDC2_Other,159.04138,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,1.9677417,0.6774193548387096,cDC1_Other,Mono-C_SEN_DYS,158.74147,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,1.5476196,0.7619047619047619,cDC1_Other,Mono-NC_Other,158.5314,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,1.4487175,0.6602564102564102,cDC1_Other,Mono-C_Other,158.48196,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,1.2121211,0.5151515151515151,cDC1_Other,cDC1_Other,158.36366,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,0.7714286,0.5142857142857142,cDC1_Other,Treg_Other,158.14331,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,LAG3,LAG3,0.7614677,0.5779816513761468,cDC1_Other,γδ T_SEN_DYS,158.13834,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,LAG3,LAG3,0.4444446,0.3472222222222222,cDC1_Other,CD4 T_SEN_DYS,157.97983,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,0.4311781,0.31840796019900497,cDC1_Other,CD4 T_Other,157.97319,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,LAG3,LAG3,0.38503382,0.2639455782312925,cDC1_Other,γδ T_Other,157.95012,0.0
HLA-DRA,HLA-DRA,315.5152,1.0,CD4,CD4,0.2847223,0.2013888888888889,cDC1_Other,CD4 T_SEN_DYS,157.89996,0.0
B2M,B2M,232.39397,1.0,KLRD1,KLRD1,10.565216,1.0,cDC1_Other,NK-CD16-_SEN_DYS,121.47959,0.0
B2M,B2M,232.39397,1.0,KLRD1,KLRD1,9.074885,0.9911894273127754,cDC1_Other,NK-CD16+_Other,120.73443,0.0
B2M,B2M,232.39397,1.0,KLRD1,KLRD1,8.534394,0.9352226720647774,cDC1_Other,NK-CD16-_Other,120.46418,0.0
B2M,B2M,232.39397,1.0,KLRD1,KLRD1,8.227273,1.0,cDC1_Other,NK-CD16+_SEN_DYS,120.31062,0.0
B2M,B2M,232.39397,1.0,CD1C,CD1C,8.135136,0.6936936936936937,cDC1_Other,cDC2_Other,120.26455,0.0
B2M,B2M,232.39397,1.0,KLRC1,KLRC1,6.1739135,0.9565217391304348,cDC1_Other,NK-CD16-_SEN_DYS,119.28394,0.0
B2M,B2M,232.39397,1.0,KLRC1,KLRC1,5.714563,0.7145748987854251,cDC1_Other,NK-CD16-_Other,119.05427,0.0
B2M,B2M,232.39397,1.0,KLRC1,KLRC1,2.2272725,0.5909090909090909,cDC1_Other,NK-CD16+_SEN_DYS,117.31062,0.0
B2M,B2M,232.39397,1.0,KLRC2,KLRC2,1.8906894,0.5182186234817814,cDC1_Other,NK-CD16-_Other,117.14233,0.0
B2M,B2M,232.39397,1.0,KLRC2,KLRC2,1.347826,0.43478260869565216,cDC1_Other,NK-CD16-_SEN_DYS,116.870895,0.0
B2M,B2M,232.39397,1.0,KLRC1,KLRC1,1.2911559,0.19319727891156463,cDC1_Other,γδ T_Other,116.84256,0.0
B2M,B2M,232.39397,1.0,KLRC2,KLRC2,1.1818181,0.36363636363636365,cDC1_Other,NK-CD16+_SEN_DYS,116.787895,0.0
B2M,B2M,232.39397,1.0,CD1A,CD1A,1.0450449,0.1981981981981982,cDC1_Other,cDC2_Other,116.719505,0.0
B2M,B2M,232.39397,1.0,KLRD1,KLRD1,0.9006798,0.2639455782312925,cDC1_Other,γδ T_Other,116.64732,0.0
B2M,B2M,232.39397,1.0,CD1B,CD1B,0.7567567,0.23423423423423423,cDC1_Other,cDC2_Other,116.57536,0.0
B2M,B2M,232.39397,1.0,KLRD1,KLRD1,0.6880733,0.1651376146788991,cDC1_Other,γδ T_SEN_DYS,116.54102,0.0
B2M,B2M,232.39397,1.0,KLRC1,KLRC1,0.5638767,0.1762114537444934,cDC1_Other,NK-CD16+_Other,116.47892,0.0
B2M,B2M,232.39397,1.0,KIR2DL3,KIR2DL3,0.55870473,0.27125506072874495,cDC1_Other,NK-CD16-_Other,116.47633,0.0
B2M,B2M,232.39397,1.0,KIR2DL1,KIR2DL1,0.5217391,0.43478260869565216,cDC1_Other,NK-CD16-_SEN_DYS,116.457855,0.0
B2M,B2M,232.39397,1.0,KLRD1,KLRD1,0.48611125,0.16666666666666666,cDC1_Other,CD4 T_SEN_DYS,116.44004,0.0
B2M,B2M,232.39397,1.0,KLRC2,KLRC2,0.43673465,0.17551020408163265,cDC1_Other,γδ T_Other,116.41535,0.0
B2M,B2M,232.39397,1.0,KIR2DL3,KIR2DL3,0.43478256,0.2608695652173913,cDC1_Other,NK-CD16-_SEN_DYS,116.414375,0.0
B2M,B2M,232.39397,1.0,KIR2DL1,KIR2DL1,0.42510143,0.2732793522267207,cDC1_Other,NK-CD16-_Other,116.40953,0.0
B2M,B2M,232.39397,1.0,KLRC2,KLRC2,0.37885472,0.19823788546255505,cDC1_Other,NK-CD16+_Other,116.38641,0.0
B2M,B2M,232.39397,1.0,HFE,HFE_TFRC,0.34980634,0.2713178294573643,cDC1_Other,TRM_Other,116.37189,0.0
B2M,B2M,232.39397,1.0,KLRC1,KLRC1,0.3181818,0.11363636363636363,cDC1_Other,CD8 T_Other,116.35607,0.0
B2M,B2M,232.39397,1.0,CD1C,CD1C,0.31746033,0.15873015873015872,cDC1_Other,B_Other,116.35571,0.0
B2M,B2M,232.39397,1.0,CD1C,CD1C,0.2580645,0.16129032258064516,cDC1_Other,Mono-C_SEN_DYS,116.32602,0.0
B2M,B2M,232.39397,1.0,KIR2DL3,KIR2DL3,0.25110137,0.19383259911894274,cDC1_Other,NK-CD16+_Other,116.32253,0.0
B2M,B2M,232.39397,1.0,KIR2DL1,KIR2DL1,0.18181819,0.18181818181818182,cDC1_Other,NK-CD16+_SEN_DYS,116.287895,0.0
B2M,B2M,232.39397,1.0,HFE,HFE_TFRC,0.17117117,0.14414414414414414,cDC1_Other,cDC2_Other,116.28257,0.0
HLA-DRB1,HLA-DRB1,220.06062,1.0,CD4,CD4,4.863351,0.9021317829457365,cDC1_Other,TRM_Other,112.46199,0.0
HLA-DRB1,HLA-DRB1,220.06062,1.0,CD4,CD4,4.500001,0.9782608695652174,cDC1_Other,pDC_Other,112.28031,0.0
