ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,5.2234054,0.8617021276595744,cDC2_SEN_DYS,TRM_SEN_DYS,154.50063,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,4.71273,0.9269717624148004,cDC2_SEN_DYS,cDC2_Other,154.24529,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,4.0606613,0.8714932126696833,cDC2_SEN_DYS,TRM_Other,153.91925,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,3.8615398,0.9076923076923077,cDC2_SEN_DYS,pDC_Other,153.81969,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,3.5740743,0.8333333333333334,cDC2_SEN_DYS,cDC2_SEN_DYS,153.67595,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,2.5641057,0.8461538461538461,cDC2_SEN_DYS,Mono-NC_Other,153.17097,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,2.172725,0.7947761194029851,cDC2_SEN_DYS,Mono-C_Other,152.97528,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,1.9512184,0.7560975609756098,cDC2_SEN_DYS,Mono-C_SEN_DYS,152.86453,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,1.5893723,0.7053140096618358,cDC2_SEN_DYS,Treg_Other,152.68361,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,0.9999998,0.5925925925925926,cDC2_SEN_DYS,cDC1_Other,152.38892,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,LAG3,LAG3,0.7272734,0.5584415584415584,cDC2_SEN_DYS,γδ T_SEN_DYS,152.25255,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,LAG3,LAG3,0.5639929,0.36901913875598086,cDC2_SEN_DYS,γδ T_Other,152.17091,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,0.5381793,0.3817733990147783,cDC2_SEN_DYS,CD4 T_Other,152.158,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,LAG3,LAG3,0.46153846,0.33760683760683763,cDC2_SEN_DYS,CD4 T_SEN_DYS,152.11969,0.0
HLA-DRA,HLA-DRA,303.77783,1.0,CD4,CD4,0.42307693,0.3034188034188034,cDC2_SEN_DYS,CD4 T_SEN_DYS,152.10045,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,5.2234054,0.8617021276595744,cDC1_Other,TRM_SEN_DYS,145.4543,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,4.71273,0.9269717624148004,cDC1_Other,cDC2_Other,145.19896,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,4.0606613,0.8714932126696833,cDC1_Other,TRM_Other,144.87292,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,3.8615398,0.9076923076923077,cDC1_Other,pDC_Other,144.77336,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,3.5740743,0.8333333333333334,cDC1_Other,cDC2_SEN_DYS,144.62962,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,2.5641057,0.8461538461538461,cDC1_Other,Mono-NC_Other,144.12465,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,2.172725,0.7947761194029851,cDC1_Other,Mono-C_Other,143.92896,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,1.9512184,0.7560975609756098,cDC1_Other,Mono-C_SEN_DYS,143.8182,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,1.5893723,0.7053140096618358,cDC1_Other,Treg_Other,143.63728,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,0.9999998,0.5925925925925926,cDC1_Other,cDC1_Other,143.34259,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,LAG3,LAG3,0.7272734,0.5584415584415584,cDC1_Other,γδ T_SEN_DYS,143.20622,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,LAG3,LAG3,0.5639929,0.36901913875598086,cDC1_Other,γδ T_Other,143.12459,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,0.5381793,0.3817733990147783,cDC1_Other,CD4 T_Other,143.11168,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,LAG3,LAG3,0.46153846,0.33760683760683763,cDC1_Other,CD4 T_SEN_DYS,143.07336,0.0
HLA-DRA,HLA-DRA,285.68518,1.0,CD4,CD4,0.42307693,0.3034188034188034,cDC1_Other,CD4 T_SEN_DYS,143.05412,0.0
APP,APP,7.600001,0.9692307692307692,CD74,CD74,259.8333,1.0,pDC_Other,cDC1_Other,133.71666,0.0
COPA,COPA,2.0425537,0.7553191489361702,CD74,CD74,259.8333,1.0,TRM_SEN_DYS,cDC1_Other,130.93793,0.0
COPA,COPA,1.8344023,0.7004524886877828,CD74,CD74,259.8333,1.0,TRM_Other,cDC1_Other,130.83386,0.0
APP,APP,1.7446818,0.6808510638297872,CD74,CD74,259.8333,1.0,TRM_SEN_DYS,cDC1_Other,130.789,0.0
COPA,COPA,1.5043753,0.6962025316455697,CD74,CD74,259.8333,1.0,cDC2_Other,cDC1_Other,130.66884,0.0
COPA,COPA,1.4444448,0.6111111111111112,CD74,CD74,259.8333,1.0,cDC2_SEN_DYS,cDC1_Other,130.63889,0.0
COPA,COPA,1.3230771,0.7384615384615385,CD74,CD74,259.8333,1.0,pDC_Other,cDC1_Other,130.5782,0.0
COPA,COPA,1.3006439,0.6577825159914712,CD74,CD74,259.8333,1.0,Mono-C_Other,cDC1_Other,130.56699,0.0
COPA,COPA,1.162601,0.6016260162601627,CD74,CD74,259.8333,1.0,Mono-C_SEN_DYS,cDC1_Other,130.49796,0.0
COPA,COPA,1.1623954,0.6452991452991453,CD74,CD74,259.8333,1.0,Mono-NC_Other,cDC1_Other,130.49785,0.0
APP,APP,1.047965,0.5067873303167421,CD74,CD74,259.8333,1.0,TRM_Other,cDC1_Other,130.44064,0.0
COPA,COPA,0.9999997,0.6296296296296297,CD74,CD74,259.8333,1.0,cDC1_Other,cDC1_Other,130.41666,0.0
APP,APP,0.827287,0.5277185501066098,CD74,CD74,259.8333,1.0,Mono-C_Other,cDC1_Other,130.3303,0.0
APP,APP,0.7407406,0.42592592592592593,CD74,CD74,259.8333,1.0,cDC2_SEN_DYS,cDC1_Other,130.28703,0.0
APP,APP,0.7235769,0.4634146341463415,CD74,CD74,259.8333,1.0,Mono-C_SEN_DYS,cDC1_Other,130.27844,0.0
APP,APP,0.7037036,0.48148148148148145,CD74,CD74,259.8333,1.0,cDC1_Other,cDC1_Other,130.26851,0.0
APP,APP,0.69912267,0.4060370009737098,CD74,CD74,259.8333,1.0,cDC2_Other,cDC1_Other,130.26622,0.0
COPA,COPA,0.39594337,0.3030949839914621,CD74,CD74,259.8333,1.0,NK-CD16-_Other,cDC1_Other,130.11462,0.0
COPA,COPA,0.3802817,0.30985915492957744,CD74,CD74,259.8333,1.0,NK-CD16-_SEN_DYS,cDC1_Other,130.1068,0.0
APP,APP,0.36065573,0.21311475409836064,CD74,CD74,259.8333,1.0,CD8 T_Other,cDC1_Other,130.09698,0.0
APP,APP,0.34615386,0.2948717948717949,CD74,CD74,259.8333,1.0,Mono-NC_Other,cDC1_Other,130.08974,0.0
COPA,COPA,0.34299517,0.26570048309178745,CD74,CD74,259.8333,1.0,Treg_Other,cDC1_Other,130.08815,0.0
COPA,COPA,0.32786885,0.3114754098360656,CD74,CD74,259.8333,1.0,CD8 T_Other,cDC1_Other,130.0806,0.0
COPA,COPA,0.3116026,0.2577751196172249,CD74,CD74,259.8333,1.0,γδ T_Other,cDC1_Other,130.07246,0.0
COPA,COPA,0.3109655,0.2520458265139116,CD74,CD74,259.8333,1.0,NK-CD16+_Other,cDC1_Other,130.07214,0.0
COPA,COPA,0.29729733,0.2972972972972973,CD74,CD74,259.8333,1.0,B_SEN_DYS,cDC1_Other,130.0653,0.0
COPA,COPA,0.2777778,0.24358974358974358,CD74,CD74,259.8333,1.0,CD4 T_SEN_DYS,cDC1_Other,130.05554,0.0
COPA,COPA,0.25773194,0.21649484536082475,CD74,CD74,259.8333,1.0,NK-CD16+_SEN_DYS,cDC1_Other,130.04552,0.0
COPA,COPA,0.25327522,0.2052401746724891,CD74,CD74,259.8333,1.0,B_Other,cDC1_Other,130.04329,0.0
COPA,COPA,0.24675336,0.21645021645021645,CD74,CD74,259.8333,1.0,γδ T_SEN_DYS,cDC1_Other,130.04004,0.0
COPA,COPA,0.2438417,0.20320197044334976,CD74,CD74,259.8333,1.0,CD4 T_Other,cDC1_Other,130.03857,0.0
APP,APP,0.22052413,0.17685589519650655,CD74,CD74,259.8333,1.0,B_Other,cDC1_Other,130.02692,0.0
APP,APP,0.14593567,0.12931034482758622,CD74,CD74,259.8333,1.0,CD4 T_Other,cDC1_Other,129.98962,0.0
APP,APP,0.111111134,0.10144927536231885,CD74,CD74,259.8333,1.0,Treg_Other,cDC1_Other,129.97221,0.0
APP,APP,0.10810811,0.10810810810810811,CD74,CD74,259.8333,1.0,B_SEN_DYS,cDC1_Other,129.9707,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,5.2234054,0.8617021276595744,cDC2_Other,TRM_SEN_DYS,122.234436,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,4.71273,0.9269717624148004,cDC2_Other,cDC2_Other,121.979095,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,4.0606613,0.8714932126696833,cDC2_Other,TRM_Other,121.65306,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,3.8615398,0.9076923076923077,cDC2_Other,pDC_Other,121.553505,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,3.5740743,0.8333333333333334,cDC2_Other,cDC2_SEN_DYS,121.409775,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,2.5641057,0.8461538461538461,cDC2_Other,Mono-NC_Other,120.904785,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,2.172725,0.7947761194029851,cDC2_Other,Mono-C_Other,120.7091,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,1.9512184,0.7560975609756098,cDC2_Other,Mono-C_SEN_DYS,120.59834,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,1.5893723,0.7053140096618358,cDC2_Other,Treg_Other,120.41742,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,0.9999998,0.5925925925925926,cDC2_Other,cDC1_Other,120.122734,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,LAG3,LAG3,0.7272734,0.5584415584415584,cDC2_Other,γδ T_SEN_DYS,119.986374,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,LAG3,LAG3,0.5639929,0.36901913875598086,cDC2_Other,γδ T_Other,119.90473,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,0.5381793,0.3817733990147783,cDC2_Other,CD4 T_Other,119.89182,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,LAG3,LAG3,0.46153846,0.33760683760683763,cDC2_Other,CD4 T_SEN_DYS,119.8535,0.0
HLA-DRA,HLA-DRA,239.24547,0.9961051606621227,CD4,CD4,0.42307693,0.3034188034188034,cDC2_Other,CD4 T_SEN_DYS,119.834274,0.0
B2M,B2M,218.68085,1.0,CD1C,CD1C,9.97951,0.8529698149951315,TRM_SEN_DYS,cDC2_Other,114.33018,0.0
B2M,B2M,218.68085,1.0,KLRC1,KLRC1,9.577463,0.971830985915493,TRM_SEN_DYS,NK-CD16-_SEN_DYS,114.12916,0.0
B2M,B2M,218.68085,1.0,KLRC1,KLRC1,9.544279,0.8527214514407684,TRM_SEN_DYS,NK-CD16-_Other,114.112564,0.0
B2M,B2M,218.68085,1.0,KLRD1,KLRD1,8.659791,1.0,TRM_SEN_DYS,NK-CD16+_SEN_DYS,113.67032,0.0
B2M,B2M,218.68085,1.0,KLRD1,KLRD1,8.227481,0.9525368248772504,TRM_SEN_DYS,NK-CD16+_Other,113.45416,0.0
