source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0071944,cell periphery,7.194254612506013e-177,True,"""The broad region around and including the plasma membrane of a cell, encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]",6263,601,501,22155,0.8336106489184693,0.07999361328436852,query_1,['GO:0110165']
GO:BP,GO:0002376,immune system process,6.881292169983726e-168,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2913,595,371,20972,0.6235294117647059,0.12736010985238586,query_1,['GO:0008150']
GO:CC,GO:0009986,cell surface,7.223610325911516e-159,True,"""The external part of the cell wall and/or plasma membrane."" [GOC:jl, GOC:mtg_sensu, GOC:sm]",904,601,226,22155,0.37603993344425957,0.25,query_1,['GO:0110165']
GO:CC,GO:0005886,plasma membrane,3.0893484751150993e-156,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",5906,601,471,22155,0.78369384359401,0.07974940738232306,query_1,"['GO:0016020', 'GO:0071944']"
GO:BP,GO:0006955,immune response,3.810836291498847e-143,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2118,595,304,20972,0.5109243697478991,0.14353163361661944,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,2.8848137021283983e-140,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2834,595,340,20972,0.5714285714285714,0.11997177134791814,query_1,['GO:0007165']
GO:BP,GO:0050896,response to stimulus,2.591674028629314e-135,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,595,542,20972,0.9109243697478991,0.05988288586896476,query_1,['GO:0008150']
GO:BP,GO:0007155,cell adhesion,3.0733592545862618e-134,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1512,595,257,20972,0.4319327731092437,0.16997354497354497,query_1,['GO:0009987']
GO:BP,GO:0002682,regulation of immune system process,2.028424503120633e-128,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,595,257,20972,0.4319327731092437,0.16122961104140526,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0001775,cell activation,2.8354241813088435e-127,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1123,595,222,20972,0.373109243697479,0.19768477292965272,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0009605,response to external stimulus,5.478678542589305e-125,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,595,303,20972,0.5092436974789916,0.12484548825710753,query_1,['GO:0050896']
GO:BP,GO:0007165,signal transduction,2.1296125462163144e-122,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6063,595,449,20972,0.7546218487394958,0.07405574797954807,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0045321,leukocyte activation,1.1471015923528542e-121,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",975,595,205,20972,0.3445378151260504,0.21025641025641026,query_1,"['GO:0001775', 'GO:0002376']"
