group,names,scores,logfoldchanges,pvals,pvals_adj
0,LMAN1L,2.796164,10.079005,0.00517131563755396,0.010849898337511387
0,AL157931.1,6.8649,10.039824,6.653777350446239e-12,1.7224918047595435e-11
0,LINC00261,3.1206586,9.090859,0.0018044706751722892,0.003860370676095379
0,AC012485.2,28.716793,8.666617,2.3544810096866581e-181,1.6308817697531497e-180
0,SERPINA4,12.857715,8.531612,7.784386827862044e-38,2.5945437688852822e-37
0,ORM2,10.084221,8.525095,6.487808651739764e-24,1.9273231641611005e-23
0,LINC01612,21.31272,8.499864,8.652118482288072e-101,4.19665765744001e-100
0,SLC5A1,35.053722,8.459971,3.4217716364866306e-269,3.1941013581664843e-268
0,OR1J1,8.910333,8.400072,5.08794759513594e-19,1.4432194963552358e-18
0,REG1A,4.41017,8.356093,1.0328936860972889e-05,2.3789883863334754e-05
0,AC005256.1,2.9738955,8.30854,0.0029404515394166096,0.006237082954412817
0,CLDN8,12.77321,8.197198,2.3141223568822656e-37,7.68977310871521e-37
0,HABP2,58.30064,8.169797,0.0,0.0
0,AC024230.1,44.682144,8.134208,0.0,0.0
0,APOBEC4,7.0485544,8.074712,1.8078607207913924e-12,4.719218859586112e-12
0,MOGAT1,50.69618,8.074011,0.0,0.0
0,SCEL,3.7555478,8.06366,0.00017296270909237176,0.0003853076582036856
0,AC025580.1,86.5392,8.051361,0.0,0.0
0,AC084866.1,18.20882,8.042737,4.393074697246467e-74,1.849315713263369e-73
0,CKMT1A,9.728766,8.013124,2.273324231826845e-22,6.657346222576491e-22
0,CLDN3,177.50667,8.000229,0.0,0.0
0,GLOD5,8.439166,7.9837384,3.1960912603298416e-17,8.87366085007316e-17
0,OVOL2,63.492107,7.974569,0.0,0.0
0,SMIM22,173.89424,7.9640007,0.0,0.0
0,AP001207.3,5.544186,7.9595666,2.9532457106001574e-08,7.19331430195595e-08
0,KLHDC7A,10.329237,7.9459767,5.197231582835895e-25,1.5602801022895484e-24
0,CKMT1B,10.459401,7.9410896,1.3269148207368338e-25,4.0022403010162315e-25
0,LINC01320,145.53354,7.9113197,0.0,0.0
0,CXCL17,25.604725,7.910565,1.3514902189604077e-144,8.0950597281801e-144
0,AC074124.1,13.816142,7.9002447,2.0369862532866363e-43,7.0937615921498664e-43
0,RAB25,153.18863,7.8917933,0.0,0.0
0,CWH43,32.737247,7.853435,4.6115737557789275e-235,3.858416623439613e-234
0,AP1M2,133.3285,7.81958,0.0,0.0
0,SLC34A2,161.44743,7.7875423,0.0,0.0
0,GJB1,67.89842,7.771298,0.0,0.0
0,UCA1,158.9178,7.709201,0.0,0.0
0,CLDN10-AS1,3.1149936,7.674608,0.0018394894517057422,0.00393338179631032
0,FXYD3,158.4785,7.672089,0.0,0.0
0,WFDC2,193.06477,7.665683,0.0,0.0
0,SHH,18.392319,7.6351886,1.5136794930082154e-75,6.428925668600373e-75
0,ALDH3B2,30.921642,7.6227155,6.114042277360218e-210,4.69599166665935e-209
