group,names,scores,logfoldchanges,pvals,pvals_adj
0,LMAN1L,2.796164,10.079005,0.00517131563755396,0.010849898337511387
0,AL157931.1,6.8649,10.039824,6.653777350446239e-12,1.7224918047595435e-11
0,LINC00261,3.1206586,9.090859,0.0018044706751722892,0.003860370676095379
0,AC012485.2,28.716793,8.666617,2.3544810096866581e-181,1.6308817697531497e-180
0,SERPINA4,12.857715,8.531612,7.784386827862044e-38,2.5945437688852822e-37
0,ORM2,10.084221,8.525095,6.487808651739764e-24,1.9273231641611005e-23
0,LINC01612,21.31272,8.499864,8.652118482288072e-101,4.19665765744001e-100
0,SLC5A1,35.053722,8.459971,3.4217716364866306e-269,3.1941013581664843e-268
0,OR1J1,8.910333,8.400072,5.08794759513594e-19,1.4432194963552358e-18
0,REG1A,4.41017,8.356093,1.0328936860972889e-05,2.3789883863334754e-05
0,AC005256.1,2.9738955,8.30854,0.0029404515394166096,0.006237082954412817
0,CLDN8,12.77321,8.197198,2.3141223568822656e-37,7.68977310871521e-37
0,HABP2,58.30064,8.169797,0.0,0.0
0,AC024230.1,44.682144,8.134208,0.0,0.0
0,APOBEC4,7.0485544,8.074712,1.8078607207913924e-12,4.719218859586112e-12
0,MOGAT1,50.69618,8.074011,0.0,0.0
0,SCEL,3.7555478,8.06366,0.00017296270909237176,0.0003853076582036856
0,AC025580.1,86.5392,8.051361,0.0,0.0
0,AC084866.1,18.20882,8.042737,4.393074697246467e-74,1.849315713263369e-73
0,CKMT1A,9.728766,8.013124,2.273324231826845e-22,6.657346222576491e-22
1,ASCL4,3.5981448,9.100854,0.00032049519762987076,0.0008670061333169729
1,LILRA1,47.861988,9.004535,0.0,0.0
1,CYBB,151.1992,8.804755,0.0,0.0
1,LILRA5,65.74485,8.800132,0.0,0.0
1,LY86,115.56303,8.664738,0.0,0.0
1,RPH3A,7.5155444,8.549647,5.667467840519213e-14,2.126556131442604e-13
1,LIPN,7.904358,8.445855,2.693183424260783e-15,1.039438312857493e-14
1,NLRC4,47.306004,8.435918,0.0,0.0
1,MPEG1,129.5091,8.420751,0.0,0.0
1,CD86,104.69455,8.4180975,0.0,0.0
1,FCGR1A,63.429737,8.393879,0.0,0.0
1,FCGR1B,31.305628,8.385664,3.911980517695599e-215,5.644611664818762e-214
1,TLR8,53.943752,8.354996,0.0,0.0
1,S100A12,57.998764,8.34369,0.0,0.0
1,RETN,27.516546,8.323557,1.1130332183582404e-166,1.3292317496058013e-165
1,FPR1,93.2787,8.300827,0.0,0.0
1,MS4A7,125.36237,8.231671,0.0,0.0
1,FCN1,87.87567,8.205427,0.0,0.0
1,MCEMP1,25.45443,8.190545,6.305628832918867e-143,6.823811986660483e-142
1,P2RY13,89.73293,8.157851,0.0,0.0
2,TRAV4,3.9748988,9.116691,7.040918648068224e-05,0.0001637424173482653
2,TRGV10,8.499471,9.067589,1.904577234382844e-17,5.532923073885756e-17
2,CD3G,112.604576,8.713368,0.0,0.0
