immune_cell_type,cell_type_short,n_cells,spearman_r,pval,pval_adj,significant
γδ T cells,γδ T,4589,0.5496198254942766,0.0,0.0,True
CD4 T cells,CD4 T,4408,0.46749879398428446,2.9162405117925704e-238,1.8955563326651708e-237,True
CD8 T cells,CD8 T,364,0.2644336983066746,3.069521893216425e-07,5.700540658830504e-07,True
Tregs,Treg,496,0.24804132714173605,2.169388453370071e-08,5.6404099787621846e-08,True
Non-Classical Monocytes,Mono-NC,548,0.21934080155685093,2.146309394537722e-07,4.6503370214983977e-07,True
pDC,pDC,206,0.2066646761866521,0.002878824404784115,0.003402247023835772,True
Tissue Resident Macrophages,TRM,3652,0.1773470322054457,3.463163640528998e-27,1.5007042442292323e-26,True
Classical Monocytes,Mono-C,3480,0.14888173407401986,1.0575637841821959e-18,3.4370822985921364e-18,True
CD16+ NK cells,NK-CD16+,2330,0.09174958812280364,9.175603028210858e-06,1.4910354920842644e-05,True
cDC2,cDC2,1877,0.08275640225830365,0.0003317740447949243,0.0004313062582334016,True
CD16- NK cells,NK-CD16-,4448,0.06273262255973192,2.8292060704261736e-05,4.0866309906155844e-05,True
B cells,B,1319,0.03190485294512924,0.24689754190769925,0.26747233706667417,False
cDC1,cDC1,165,0.025221061630112472,0.747787076664765,0.747787076664765,False
