sample_id,n_cells,median_genes,median_counts,median_pct_mt
GSM6102532_C01_Ctrl,2913,4801.0,21201.0,13.171259
GSM6102533_C02_Ctrl,6246,2977.0,10559.0,12.328665
GSM6102534_C03_Ctrl,4840,3061.0,9632.0,9.084982
GSM6102537_E01_EuE,4817,3206.0,9476.0,10.927835
GSM6102540_E02_EuE,3997,4813.0,23016.0,10.28718
GSM6102543_E03_EuE,3926,3454.0,12041.0,11.043671
GSM6102546_E04_EuE,3095,2490.0,8040.0,10.769557
GSM6102549_E05_EuE,2391,2507.0,7213.0,8.977084
GSM6102550_E06_EcP,1950,2279.5,6405.0,5.605155
GSM6102551_E06_EuE,4007,3747.0,13291.0,10.473383
GSM6102552_E07_EcO,2224,2579.0,8036.5,10.757249
GSM6102553_E07_EcP,3645,3254.0,12746.0,7.5990095
GSM6102554_E07_EuE,2707,3969.0,14793.0,9.037786
GSM6102555_E08_EuE,2057,2288.0,6966.0,12.356648
GSM6102556_E09_EcO,4555,2336.0,6854.0,8.092347
GSM6102560_E09_EuE,3680,3990.0,13606.5,12.292687
GSM6102562_E11_EcO,6377,3515.0,12352.0,4.9101458
GSM6595248_E01_EcP,2554,2651.0,8376.0,9.710185
GSM6595250_E02_EcP,4270,2344.5,7699.0,8.000509
GSM6595252_E03_EcP,5372,2866.0,9755.5,7.28292
GSM6595254_E04_EcP,2522,2765.0,8901.5,8.797192
GSM6595256_E05_EcP,2936,2979.5,9700.5,9.389321
GSM6595258_E09_EcP,1648,2153.0,6976.5,9.504653
GSM6595261_E10_EcO,12171,1761.0,5543.0,9.173219
