sample_id,n_cells,median_genes,median_counts,median_pct_mt
GSM6102532_C01_Ctrl,4133,4032.0,15243.0,15.595176
GSM6102533_C02_Ctrl,7801,2743.0,9214.0,12.777779
GSM6102534_C03_Ctrl,5531,2940.0,8997.0,9.656883
GSM6102537_E01_EuE,7665,2101.0,5612.0,13.657331
GSM6102540_E02_EuE,5277,4379.0,19144.0,11.266568
GSM6102543_E03_EuE,5302,2986.0,9657.5,12.457188
GSM6102546_E04_EuE,3819,2127.0,6975.0,11.697548
GSM6102549_E05_EuE,3030,1973.0,5226.5,9.615817
GSM6102550_E06_EcP,2494,1893.0,4978.0,6.322645
GSM6102551_E06_EuE,5226,3334.0,10890.5,11.64482
GSM6102552_E07_EcO,2688,2302.0,6818.0,11.774421
GSM6102553_E07_EcP,4372,2952.0,10964.5,8.10746
GSM6102554_E07_EuE,3078,3808.5,13938.5,9.41802
GSM6102555_E08_EuE,2780,1999.0,6074.0,14.138367
GSM6102556_E09_EcO,6152,1804.5,5112.5,9.276462
GSM6102560_E09_EuE,5255,3488.0,11056.0,14.489974
GSM6102562_E11_EcO,7371,3357.0,11368.0,5.161712
GSM6595248_E01_EcP,2961,2493.0,7672.0,10.070041
GSM6595250_E02_EcP,5049,2174.0,7021.0,8.479349
GSM6595252_E03_EcP,6691,2547.0,8206.0,8.001586
GSM6595254_E04_EcP,3536,2233.0,6407.0,9.471149
GSM6595256_E05_EcP,4043,2071.0,6267.0,10.656666
GSM6595258_E09_EcP,2518,1748.5,5193.5,11.705744
GSM6595261_E10_EcO,12788,1733.0,5416.0,9.316175
