total_immune_region_level,total_immune_spot_level,tissue_level_immune_class,library_id
93.843414,95.52238,Immune-high,BEME_346
93.843414,103.3141,Immune-high,BEME_346
54.467182,64.71322,Immune-moderate-low,BEME_346
15.260765,21.414412,Immune-low,BEME_346
7.338196,9.838631,Immune-poor,BEME_346
64.28651,68.85096,Immune-moderate-high,BEME_346
64.28651,57.287266,Immune-moderate-high,BEME_346
1.4665425,0.5017329,Immune-poor,BEME_346
45.566067,43.87986,Immune-moderate-low,BEME_346
1.4665425,0.46203986,Immune-poor,BEME_346
7.338196,13.01378,Immune-poor,BEME_346
96.11404,53.687126,Immune-high,BEME_346
7.338196,7.459751,Immune-poor,BEME_346
54.467182,46.40168,Immune-moderate-low,BEME_346
7.338196,4.2386875,Immune-poor,BEME_346
64.28651,64.12852,Immune-moderate-high,BEME_346
93.843414,82.68568,Immune-high,BEME_346
93.843414,108.98506,Immune-high,BEME_346
38.69574,48.70215,Immune-low,BEME_346
93.843414,109.81161,Immune-high,BEME_346
1.4665425,2.5699542,Immune-poor,BEME_346
45.566067,49.61771,Immune-moderate-low,BEME_346
24.591093,24.801529,Immune-low,BEME_346
7.338196,5.4272203,Immune-poor,BEME_346
64.28651,61.689724,Immune-moderate-high,BEME_346
38.69574,32.41428,Immune-low,BEME_346
1.4665425,0.30731407,Immune-poor,BEME_346
54.467182,35.69069,Immune-moderate-low,BEME_346
7.338196,4.4595394,Immune-poor,BEME_346
15.260765,14.823335,Immune-low,BEME_346
1.4665425,1.7853584,Immune-poor,BEME_346
7.338196,6.971574,Immune-poor,BEME_346
1.4665425,0.79251087,Immune-poor,BEME_346
24.591093,18.772526,Immune-low,BEME_346
1.4665425,1.4467313,Immune-poor,BEME_346
96.11404,105.49812,Immune-high,BEME_346
96.11404,111.9272,Immune-high,BEME_346
96.11404,139.43205,Immune-high,BEME_346
1.4665425,0.05111471,Immune-poor,BEME_346
1.4665425,0.69197065,Immune-poor,BEME_346
15.260765,6.8632855,Immune-low,BEME_346
64.28651,54.556618,Immune-moderate-high,BEME_346
54.467182,60.939705,Immune-moderate-low,BEME_346
96.11404,68.4377,Immune-high,BEME_346
15.260765,11.322164,Immune-low,BEME_346
93.843414,113.508286,Immune-high,BEME_346
7.338196,4.557106,Immune-poor,BEME_346
1.4665425,1.8691689,Immune-poor,BEME_346
7.338196,10.093169,Immune-poor,BEME_346
38.69574,38.465027,Immune-low,BEME_346
93.843414,90.46871,Immune-high,BEME_346
15.260765,11.489739,Immune-low,BEME_346
45.566067,41.895836,Immune-moderate-low,BEME_346
24.591093,20.87062,Immune-low,BEME_346
15.260765,14.599034,Immune-low,BEME_346
96.11404,59.26883,Immune-high,BEME_346
96.11404,54.46898,Immune-high,BEME_346
93.843414,103.038216,Immune-high,BEME_346
1.4665425,0.7566455,Immune-poor,BEME_346
45.566067,49.696793,Immune-moderate-low,BEME_346
54.467182,37.014725,Immune-moderate-low,BEME_346
45.566067,50.83711,Immune-moderate-low,BEME_346
96.11404,78.259186,Immune-high,BEME_346
93.843414,86.68956,Immune-high,BEME_346
7.338196,4.3588967,Immune-poor,BEME_346
15.260765,19.1076,Immune-low,BEME_346
96.11404,146.55551,Immune-high,BEME_346
38.69574,30.564028,Immune-low,BEME_346
15.260765,21.970407,Immune-low,BEME_346
24.591093,20.855095,Immune-low,BEME_346
38.69574,31.357079,Immune-low,BEME_346
24.591093,25.47586,Immune-low,BEME_346
54.467182,80.5737,Immune-moderate-low,BEME_346
93.843414,89.3365,Immune-high,BEME_346
64.28651,65.80856,Immune-moderate-high,BEME_346
7.338196,3.9802213,Immune-poor,BEME_346
64.28651,55.26861,Immune-moderate-high,BEME_346
96.11404,116.44006,Immune-high,BEME_346
54.467182,42.30998,Immune-moderate-low,BEME_346
15.260765,17.267675,Immune-low,BEME_346
15.260765,9.367453,Immune-low,BEME_346
38.69574,46.533787,Immune-low,BEME_346
54.467182,69.2043,Immune-moderate-low,BEME_346
54.467182,75.26885,Immune-moderate-low,BEME_346
93.843414,84.24564,Immune-high,BEME_346
45.566067,44.62087,Immune-moderate-low,BEME_346
15.260765,9.775211,Immune-low,BEME_346
93.843414,114.48097,Immune-high,BEME_346
38.69574,25.03096,Immune-low,BEME_346
38.69574,36.082027,Immune-low,BEME_346
