leiden_0.4,mean_dysfunction,immune_class,color,library_id
0,0.0205701453556859,Immune-high,#8B1E3F,BEME346
1,-0.04628536660180965,Immune-moderate-low,#4C78A8,BEME346
2,-0.06955043479804135,Immune-low,#5F6368,BEME346
3,-0.0029612852015932015,Immune-low,#5F6368,BEME346
4,-0.006532245191619186,Immune-low,#5F6368,BEME346
5,-0.041087410159202226,Immune-poor,#D9D9D9,BEME346
6,0.02061653729771964,Immune-moderate-high,#D55E00,BEME346
7,-0.0464541383638862,Immune-poor,#D9D9D9,BEME346
8,0.019173278183405938,Immune-moderate-low,#4C78A8,BEME346
9,-0.016321894504357098,Immune-high,#8B1E3F,BEME346
0,0.025856856725650343,Immune-poor,#D9D9D9,BEME355G
1,0.04312934541635003,Immune-low,#5F6368,BEME355G
2,-0.0025882690100231566,Immune-moderate-low,#4C78A8,BEME355G
3,-0.0392394429051874,Immune-moderate-high,#D55E00,BEME355G
4,-0.06649256025838339,Immune-moderate-low,#4C78A8,BEME355G
5,-0.012109577011893557,Immune-low,#5F6368,BEME355G
6,0.004244187762946216,Immune-poor,#D9D9D9,BEME355G
7,-0.08229538371459676,Immune-low,#5F6368,BEME355G
8,-0.05554408904452849,Immune-poor,#D9D9D9,BEME355G
9,0.04553261972200293,Immune-moderate,#E69F00,BEME355G
10,0.04614516103579838,Immune-high,#8B1E3F,BEME355G
11,0.04372682984186185,Immune-high,#8B1E3F,BEME355G
