leiden_0.4,mean_senescence,immune_class,color,library_id
0,-0.07624566799000583,Immune-high,#8B1E3F,BEME346
1,-0.0865764281492775,Immune-moderate-low,#4C78A8,BEME346
2,-0.0846502756532148,Immune-low,#5F6368,BEME346
3,-0.07487405709798316,Immune-low,#5F6368,BEME346
4,-0.0796084306896523,Immune-low,#5F6368,BEME346
5,-0.08031453298400706,Immune-poor,#D9D9D9,BEME346
6,-0.07717037237687858,Immune-moderate-high,#D55E00,BEME346
7,-0.06483323675805426,Immune-poor,#D9D9D9,BEME346
8,-0.07603207140517972,Immune-moderate-low,#4C78A8,BEME346
9,-0.08395612874926091,Immune-high,#8B1E3F,BEME346
0,-0.057051873633253404,Immune-poor,#D9D9D9,BEME355G
1,-0.04650932963130761,Immune-low,#5F6368,BEME355G
2,-0.06312856130937686,Immune-moderate-low,#4C78A8,BEME355G
3,-0.07855872644662723,Immune-moderate-high,#D55E00,BEME355G
4,-0.08651471086808428,Immune-moderate-low,#4C78A8,BEME355G
5,-0.0684507849045752,Immune-low,#5F6368,BEME355G
6,-0.05412819523301533,Immune-poor,#D9D9D9,BEME355G
7,-0.09176031273022307,Immune-low,#5F6368,BEME355G
8,-0.0780999375173894,Immune-poor,#D9D9D9,BEME355G
9,-0.04607265401501367,Immune-moderate,#E69F00,BEME355G
10,-0.04623840338169044,Immune-high,#8B1E3F,BEME355G
11,-0.04739547780069225,Immune-high,#8B1E3F,BEME355G
