cell_type,outgoing_score,incoming_score,niche
B,7639.740257610267,4779.586894091168,Immune-cold
CD4 T,1625.2577268782966,2975.244852915064,Immune-cold
CD8 T,487.43198575436605,1330.1740491660169,Immune-cold
DC,1451.3200088010806,2688.0805083070154,Immune-cold
Mono-C,1277.7420149756772,3030.3148209031015,Immune-cold
Mono-NC,12240.34513224122,8807.283386802661,Immune-cold
NK-CD16+,440.4811389756869,1089.745759891619,Immune-cold
NK-CD16-,136.62124170312532,303.7432648753582,Immune-cold
TRM,213.39032377505168,571.9979743543945,Immune-cold
Treg,4441.510163426691,4287.109067354424,Immune-cold
γδ T,7.604766893661602,98.16418237430193,Immune-cold
B,5946.343667281624,4659.443526465424,Adaptive-enriched
CD4 T,1329.9850850690268,2256.650664420737,Adaptive-enriched
DC,3.2948717948717947,162.95453998556187,Adaptive-enriched
Mono-C,318.0138966872543,925.0052427296952,Adaptive-enriched
Mono-NC,27.296790192775596,34.11304510574583,Adaptive-enriched
NK-CD16+,49.01520681265206,89.78500129230056,Adaptive-enriched
NK-CD16-,132.0897435897436,402.60017780273256,Adaptive-enriched
TRM,4629.049889486021,2770.992916856055,Adaptive-enriched
γδ T,765.4697557106317,1899.0137919663468,Adaptive-enriched
B,6859.093399642735,7005.703084794713,Diffuse immune
CD4 T,1743.4981363078728,4489.437078919657,Diffuse immune
DC,3407.478311734123,4305.151306639281,Diffuse immune
Mono-C,4286.758702153318,5423.732989535764,Diffuse immune
Mono-NC,1003.1958640031695,1442.6389698931682,Diffuse immune
NK-CD16+,11466.990847921054,9870.145225888122,Diffuse immune
NK-CD16-,10782.988847908891,9987.690291650159,Diffuse immune
TRM,14498.977693167839,8409.868988712109,Diffuse immune
γδ T,1865.758619614099,4980.372486420127,Diffuse immune
CD4 T,1235.2555913047177,3578.6642722984043,Effector immune
CD8 T,4141.01605402117,5232.804343256145,Effector immune
DC,18035.953056198257,11019.2829475402,Effector immune
Mono-C,2350.3386429320917,5402.615191686491,Effector immune
Mono-NC,12826.266504402049,11064.845538063284,Effector immune
NK-CD16+,133.5969506423188,1242.3193829639135,Effector immune
NK-CD16-,32.33148167427385,323.19621963044057,Effector immune
TRM,3058.9613391490334,3274.2651571542465,Effector immune
Treg,6346.167802671276,6750.38441752368,Effector immune
γδ T,152.26043199800807,423.77038487639305,Effector immune
B,10040.985220234496,9475.258765095068,Lymphoid-rich
CD4 T,1879.537874266464,4966.714302321048,Lymphoid-rich
DC,16388.01565111223,7563.936848008007,Lymphoid-rich
Mono-C,5120.313593596341,7288.987196241674,Lymphoid-rich
Mono-NC,4547.963715689946,5152.664961677351,Lymphoid-rich
NK-CD16+,1841.9975740286031,4560.165162088228,Lymphoid-rich
NK-CD16-,1254.7196144519514,3716.69989321399,Lymphoid-rich
TRM,16083.767024446399,11662.75221686174,Lymphoid-rich
γδ T,1427.0324887607796,4197.1534110801,Lymphoid-rich
CD8 T,9171.55180526388,11317.968460203367,Immune hotspot
DC,11350.732898164788,7532.621295113554,Immune hotspot
Mono-C,3873.2823597970655,4842.394285796763,Immune hotspot
Mono-NC,1254.84069980587,1692.437140516862,Immune hotspot
NK-CD16+,1577.1805236816845,3033.981289737095,Immune hotspot
NK-CD16-,2707.6203226597963,3089.85887693318,Immune hotspot
TRM,7378.05126671574,4549.9326517136105,Immune hotspot
γδ T,1280.9583585918726,2535.0242346662626,Immune hotspot
