cell_type,outgoing_score,incoming_score,niche,mean_senescence_score
B,7639.740257610267,4779.586894091168,Immune-cold,-0.08301505672638886
CD4 T,1625.2577268782966,2975.244852915064,Immune-cold,-0.08318344043128231
CD8 T,487.43198575436605,1330.1740491660169,Immune-cold,-0.09036968621629764
DC,1451.3200088010806,2688.0805083070154,Immune-cold,-0.07910606781025029
Mono-C,1277.7420149756772,3030.3148209031015,Immune-cold,-0.06917369489201317
Mono-NC,12240.34513224122,8807.283386802661,Immune-cold,-0.07862400018526579
NK-CD16+,440.4811389756869,1089.745759891619,Immune-cold,-0.061074242302396456
NK-CD16-,136.62124170312532,303.7432648753582,Immune-cold,-0.07199297617979847
TRM,213.39032377505168,571.9979743543945,Immune-cold,-0.028335065014367982
Treg,4441.510163426691,4287.109067354424,Immune-cold,-0.07980198339064055
γδ T,7.604766893661602,98.16418237430193,Immune-cold,-0.05489100116912003
B,5946.343667281624,4659.443526465424,Adaptive-enriched,-0.07155454540069443
CD4 T,1329.9850850690268,2256.650664420737,Adaptive-enriched,-0.08758541029331375
DC,3.2948717948717947,162.95453998556187,Adaptive-enriched,-0.047664888533694945
Mono-C,318.0138966872543,925.0052427296952,Adaptive-enriched,-0.050463098033920656
Mono-NC,27.296790192775596,34.11304510574583,Adaptive-enriched,-0.04362994170353859
NK-CD16+,49.01520681265206,89.78500129230056,Adaptive-enriched,-0.057249615456772325
NK-CD16-,132.0897435897436,402.60017780273256,Adaptive-enriched,-0.051621366024243644
TRM,4629.049889486021,2770.992916856055,Adaptive-enriched,-0.05676140587564966
γδ T,765.4697557106317,1899.0137919663468,Adaptive-enriched,-0.053517113791682475
B,6859.093399642735,7005.703084794713,Diffuse immune,-0.0652025012045643
CD4 T,1743.4981363078728,4489.437078919657,Diffuse immune,-0.07373312765080235
DC,3407.478311734123,4305.151306639281,Diffuse immune,-0.05335034421160895
Mono-C,4286.758702153318,5423.732989535764,Diffuse immune,-0.04696352234208324
Mono-NC,1003.1958640031695,1442.6389698931682,Diffuse immune,-0.05303606744453217
NK-CD16+,11466.990847921054,9870.145225888122,Diffuse immune,-0.04569545313074558
NK-CD16-,10782.988847908891,9987.690291650159,Diffuse immune,-0.0465326422631804
TRM,14498.977693167839,8409.868988712109,Diffuse immune,-0.0488036476806454
γδ T,1865.758619614099,4980.372486420127,Diffuse immune,-0.04695607187905526
CD4 T,1235.2555913047177,3578.6642722984043,Effector immune,-0.08705184180684027
CD8 T,4141.01605402117,5232.804343256145,Effector immune,-0.08043532815749091
DC,18035.953056198257,11019.2829475402,Effector immune,-0.08349110428532144
Mono-C,2350.3386429320917,5402.615191686491,Effector immune,-0.0761404192009412
Mono-NC,12826.266504402049,11064.845538063284,Effector immune,-0.08078790762137818
NK-CD16+,133.5969506423188,1242.3193829639135,Effector immune,-0.07391479967855595
NK-CD16-,32.33148167427385,323.19621963044057,Effector immune,-0.06709479862650201
TRM,3058.9613391490334,3274.2651571542465,Effector immune,-0.062213146741864886
Treg,6346.167802671276,6750.38441752368,Effector immune,-0.07853557508114672
γδ T,152.26043199800807,423.77038487639305,Effector immune,-0.06564149987401208
B,10040.985220234496,9475.258765095068,Lymphoid-rich,-0.07071770546117301
CD4 T,1879.537874266464,4966.714302321048,Lymphoid-rich,-0.0793293292824915
DC,16388.01565111223,7563.936848008007,Lymphoid-rich,-0.05678999272929958
Mono-C,5120.313593596341,7288.987196241674,Lymphoid-rich,-0.05165881773339632
Mono-NC,4547.963715689946,5152.664961677351,Lymphoid-rich,-0.05481220263271436
NK-CD16+,1841.9975740286031,4560.165162088228,Lymphoid-rich,-0.05039209638842187
NK-CD16-,1254.7196144519514,3716.69989321399,Lymphoid-rich,-0.05315261622141114
TRM,16083.767024446399,11662.75221686174,Lymphoid-rich,-0.05296411940710862
γδ T,1427.0324887607796,4197.1534110801,Lymphoid-rich,-0.05387017027626982
CD8 T,9171.55180526388,11317.968460203367,Immune hotspot,-0.06247081422289266
DC,11350.732898164788,7532.621295113554,Immune hotspot,-0.054081103321270724
Mono-C,3873.2823597970655,4842.394285796763,Immune hotspot,-0.04687514070086186
Mono-NC,1254.84069980587,1692.437140516862,Immune hotspot,-0.039360725385339065
NK-CD16+,1577.1805236816845,3033.981289737095,Immune hotspot,-0.04740527113607918
NK-CD16-,2707.6203226597963,3089.85887693318,Immune hotspot,-0.04620397649996046
TRM,7378.05126671574,4549.9326517136105,Immune hotspot,-0.043434090019839756
γδ T,1280.9583585918726,2535.0242346662626,Immune hotspot,-0.04625669567723663
