,,B,B,B,B,B,B,B,B,B,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,DC,DC,DC,DC,DC,DC,DC,DC,DC,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T
,,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,LRP1,15.73076923076923,14.690997566909976,14.5,14.166666666666666,0.0,14.166666666666666,14.083333333333334,15.5,14.420634920634921,8.8268762867303,7.7871046228710465,7.59610705596107,7.262773722627737,0.0,7.262773722627737,7.179440389294403,8.59610705596107,7.516741976595991,5.230769230769231,4.190997566909976,4.0,3.6666666666666665,0.0,3.6666666666666665,3.5833333333333335,5.0,3.9206349206349205,4.897435897435898,3.8576642335766422,3.6666666666666665,3.333333333333333,0.0,3.333333333333333,3.25,4.666666666666666,3.587301587301587,3.230769230769231,2.1909975669099757,2.0,1.6666666666666667,0.0,1.6666666666666667,1.5833333333333333,3.0,1.9206349206349207,2.3974358974358974,1.3576642335766422,1.1666666666666665,0.8333333333333333,0.0,0.8333333333333333,0.75,2.1666666666666665,1.0873015873015872,3.480769230769231,2.4409975669099757,2.25,1.9166666666666667,0.0,1.9166666666666667,1.8333333333333333,3.25,2.1706349206349205,20.314102564102562,19.274330900243307,19.083333333333332,18.75,0.0,18.75,18.666666666666664,20.083333333333332,19.003968253968253,6.814102564102564,5.774330900243308,5.583333333333333,5.25,0.0,5.25,5.166666666666666,6.583333333333333,5.503968253968254
DCN,VEGFA,14.153846153846153,14.062043795620438,0.0,14.333333333333334,0.0,0.0,0.0,14.583333333333334,14.115079365079366,7.249953209807225,7.158150851581508,0.0,7.429440389294403,0.0,0.0,0.0,7.679440389294403,7.211186421040435,3.6538461538461537,3.562043795620438,0.0,3.8333333333333335,0.0,0.0,0.0,4.083333333333333,3.615079365079365,3.3205128205128203,3.2287104622871046,0.0,3.5,0.0,0.0,0.0,3.75,3.2817460317460316,1.6538461538461537,1.562043795620438,0.0,1.8333333333333333,0.0,0.0,0.0,2.0833333333333335,1.6150793650793651,0.8205128205128205,0.7287104622871046,0.0,1.0,0.0,0.0,0.0,1.25,0.7817460317460317,1.9038461538461537,1.812043795620438,0.0,2.0833333333333335,0.0,0.0,0.0,2.3333333333333335,1.8650793650793651,18.737179487179485,18.64537712895377,0.0,18.916666666666664,0.0,0.0,0.0,19.166666666666664,18.698412698412696,5.237179487179487,5.145377128953771,0.0,5.416666666666666,0.0,0.0,0.0,5.666666666666666,5.198412698412698
DCN,TGFB1,14.115384615384615,14.077858880778589,0.0,0.0,0.0,0.0,0.0,14.5,14.055555555555555,7.211491671345685,7.173965936739659,0.0,0.0,0.0,0.0,0.0,7.59610705596107,7.151662611516626,3.6153846153846154,3.5778588807785887,0.0,0.0,0.0,0.0,0.0,4.0,3.5555555555555554,3.282051282051282,3.2445255474452552,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,3.222222222222222,1.6153846153846154,1.5778588807785887,0.0,0.0,0.0,0.0,0.0,2.0,1.5555555555555556,0.782051282051282,0.7445255474452555,0.0,0.0,0.0,0.0,0.0,1.1666666666666665,0.7222222222222222,1.8653846153846154,1.8278588807785887,0.0,0.0,0.0,0.0,0.0,2.25,1.8055555555555556,18.69871794871795,18.66119221411192,0.0,0.0,0.0,0.0,0.0,19.083333333333332,18.63888888888889,5.198717948717948,5.161192214111922,0.0,0.0,0.0,0.0,0.0,5.583333333333333,5.138888888888888
TGFB1,DCN,14.115384615384615,7.211491671345685,3.6153846153846154,3.282051282051282,1.6153846153846154,0.782051282051282,1.8653846153846154,18.69871794871795,5.198717948717948,14.077858880778589,7.173965936739659,3.5778588807785887,3.2445255474452552,1.5778588807785887,0.7445255474452555,1.8278588807785887,18.66119221411192,5.161192214111922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,7.59610705596107,4.0,3.6666666666666665,2.0,1.1666666666666665,2.25,19.083333333333332,5.583333333333333,14.055555555555555,7.151662611516626,3.5555555555555554,3.222222222222222,1.5555555555555556,0.7222222222222222,1.8055555555555556,18.63888888888889,5.138888888888888
DCN,IGF1R,14.115384615384615,14.072992700729927,0.0,14.166666666666666,0.0,0.0,0.0,14.333333333333334,14.063492063492063,7.211491671345685,7.169099756690997,0.0,7.262773722627737,0.0,0.0,0.0,7.429440389294403,7.159599119453134,3.6153846153846154,3.572992700729927,0.0,3.6666666666666665,0.0,0.0,0.0,3.8333333333333335,3.5634920634920633,3.282051282051282,3.2396593673965937,0.0,3.333333333333333,0.0,0.0,0.0,3.5,3.2301587301587302,1.6153846153846154,1.572992700729927,0.0,1.6666666666666667,0.0,0.0,0.0,1.8333333333333333,1.5634920634920635,0.782051282051282,0.7396593673965937,0.0,0.8333333333333333,0.0,0.0,0.0,1.0,0.7301587301587301,1.8653846153846154,1.822992700729927,0.0,1.9166666666666667,0.0,0.0,0.0,2.0833333333333335,1.8134920634920635,18.69871794871795,18.65632603406326,0.0,18.75,0.0,0.0,0.0,18.916666666666664,18.646825396825395,5.198717948717948,5.15632603406326,0.0,5.25,0.0,0.0,0.0,5.416666666666666,5.146825396825396
IL10,DCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.003649635036496,7.099756690997567,3.5036496350364965,3.170316301703163,1.5036496350364963,0.670316301703163,1.7536496350364963,18.586982968369828,5.0869829683698295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.333333333333334,7.429440389294403,3.8333333333333335,3.5,1.8333333333333333,1.0,2.0833333333333335,18.916666666666664,5.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.003968253968255,7.100075309929324,3.503968253968254,3.1706349206349205,1.503968253968254,0.6706349206349206,1.753968253968254,18.587301587301585,5.087301587301587
DCN,EGFR,14.26923076923077,14.08029197080292,0.0,14.166666666666666,0.0,0.0,14.083333333333334,14.083333333333334,14.087301587301587,7.3653378251918395,7.17639902676399,0.0,7.262773722627737,0.0,0.0,7.179440389294403,7.179440389294403,7.183408643262657,3.769230769230769,3.5802919708029197,0.0,3.6666666666666665,0.0,0.0,3.5833333333333335,3.5833333333333335,3.5873015873015874,3.4358974358974357,3.2469586374695862,0.0,3.333333333333333,0.0,0.0,3.25,3.25,3.253968253968254,1.7692307692307692,1.5802919708029197,0.0,1.6666666666666667,0.0,0.0,1.5833333333333333,1.5833333333333333,1.5873015873015872,0.9358974358974359,0.7469586374695864,0.0,0.8333333333333333,0.0,0.0,0.75,0.75,0.753968253968254,2.019230769230769,1.8302919708029197,0.0,1.9166666666666667,0.0,0.0,1.8333333333333333,1.8333333333333333,1.8373015873015872,18.852564102564102,18.66362530413625,0.0,18.75,0.0,0.0,18.666666666666664,18.666666666666664,18.67063492063492,5.352564102564102,5.163625304136253,0.0,5.25,0.0,0.0,5.166666666666666,5.166666666666666,5.17063492063492
IL6,DCN,14.076923076923077,7.173030132884147,3.576923076923077,3.2435897435897436,1.5769230769230769,0.7435897435897436,1.8269230769230769,18.66025641025641,5.16025641025641,14.03771289537713,7.133819951338199,3.537712895377129,3.2043795620437954,1.5377128953771289,0.7043795620437956,1.7877128953771289,18.621046228710462,5.121046228710462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.166666666666666,7.262773722627737,3.6666666666666665,3.333333333333333,1.6666666666666667,0.8333333333333333,1.9166666666666667,18.75,5.25,14.051587301587302,7.147694357548372,3.5515873015873014,3.218253968253968,1.5515873015873016,0.7182539682539683,1.8015873015873016,18.634920634920633,5.134920634920634
