,,B,B,B,B,B,B,B,B,B,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,DC,DC,DC,DC,DC,DC,DC,DC,DC,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T
,,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,LRP1,0.0,0.0,0.001,0.0,,0.001,0.001,0.0,0.0,0.0,0.021,0.295,0.562,,0.574,0.757,0.005,0.316,0.528,0.608,0.597,0.672,,0.67,0.681,0.551,0.657,0.752,0.857,0.867,0.87,,0.903,0.912,0.781,0.878,0.689,0.807,0.821,0.885,,0.883,0.908,0.729,0.879,0.969,0.998,0.996,0.999,,0.999,1.0,0.973,0.999,0.978,1.0,0.996,1.0,,1.0,1.0,0.987,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.897,1.0,0.999,1.0,,1.0,1.0,0.944,1.0
DCN,VEGFA,0.0,0.0,,0.0,,,,0.0,0.0,0.008,0.042,,0.004,,,,0.0,0.014,0.61,0.657,,0.608,,,,0.573,0.609,0.857,0.869,,0.83,,,,0.813,0.857,0.808,0.879,,0.807,,,,0.757,0.805,0.998,0.999,,0.994,,,,0.989,0.998,1.0,1.0,,0.997,,,,0.991,1.0,0.0,0.0,,0.0,,,,0.0,0.0,1.0,1.0,,1.0,,,,0.998,1.0
DCN,TGFB1,0.0,0.0,,,,,,0.0,0.0,0.016,0.027,,,,,,0.0,0.041,0.614,0.622,,,,,,0.581,0.652,0.861,0.861,,,,,,0.818,0.866,0.815,0.832,,,,,,0.779,0.862,0.998,0.998,,,,,,0.993,0.999,1.0,1.0,,,,,,0.995,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,1.0,,,,,,1.0,1.0
TGFB1,DCN,0.0,0.016,0.614,0.861,0.815,0.998,1.0,0.0,1.0,0.0,0.027,0.622,0.861,0.832,0.998,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.581,0.818,0.779,0.993,0.995,0.0,1.0,0.0,0.041,0.652,0.866,0.862,0.999,1.0,0.0,1.0
DCN,IGF1R,0.0,0.0,,0.0,,,,0.0,0.0,0.016,0.03,,0.036,,,,0.001,0.037,0.614,0.635,,0.611,,,,0.607,0.638,0.86,0.865,,0.857,,,,0.835,0.863,0.812,0.838,,0.814,,,,0.805,0.857,0.998,0.998,,0.998,,,,0.996,0.999,1.0,1.0,,0.998,,,,0.998,1.0,0.0,0.0,,0.0,,,,0.0,0.0,1.0,1.0,,1.0,,,,1.0,1.0
IL10,DCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.607,0.827,0.805,0.993,0.996,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,EGFR,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.036,,0.041,,,0.047,0.047,0.025,0.608,0.652,,0.616,,,0.621,0.617,0.63,0.846,0.868,,0.858,,,0.858,0.859,0.859,0.806,0.867,,0.814,,,0.824,0.823,0.831,0.998,0.999,,0.998,,,0.998,0.999,0.998,0.998,1.0,,0.999,,,1.0,1.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,1.0,1.0,,1.0,,,1.0,1.0,1.0
IL6,DCN,0.0,0.031,0.613,0.86,0.811,0.998,1.0,0.0,1.0,0.0,0.034,0.642,0.864,0.86,0.999,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.014,0.609,0.857,0.805,0.998,0.998,0.0,1.0,0.0,0.027,0.619,0.861,0.823,0.998,1.0,0.0,1.0
DCN,TLR4,0.0,0.0,,,,,,0.0,0.0,0.012,0.032,,,,,,0.011,0.033,0.609,0.631,,,,,,0.609,0.634,0.857,0.864,,,,,,0.858,0.862,0.81,0.85,,,,,,0.805,0.844,0.998,0.999,,,,,,0.998,0.999,1.0,1.0,,,,,,1.0,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,1.0,,,,,,1.0,1.0
DCN,MET,0.0,,,,,,,0.0,,0.016,,,,,,,0.007,,0.607,,,,,,,0.607,,0.857,,,,,,,0.857,,0.805,,,,,,,0.805,,0.998,,,,,,,0.998,,1.0,,,,,,,1.0,,0.0,,,,,,,0.0,,1.0,,,,,,,1.0,
