,,B,B,B,B,B,B,B,B,B,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,DC,DC,DC,DC,DC,DC,DC,DC,DC,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T
,,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGALS1,ITGB1,0.039,0.063,0.043,0.021,0.076,0.02,0.016,0.03,0.038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017,0.026,0.025,0.012,0.027,0.011,0.007,0.012,0.02,0.292,0.327,0.305,0.266,0.335,0.253,0.233,0.28,0.3,0.85,0.864,0.858,0.826,0.856,0.825,0.814,0.839,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.0,0.003,0.0,0.0,0.0,0.001,0.123,0.173,0.143,0.089,0.19,0.076,0.061,0.112,0.139,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGALS1,STAT3,0.034,0.036,0.037,0.035,0.038,0.033,0.035,0.034,0.035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016,0.019,0.02,0.016,0.02,0.016,0.018,0.018,0.018,0.29,0.296,0.296,0.29,0.289,0.289,0.289,0.292,0.294,0.848,0.85,0.851,0.848,0.844,0.848,0.848,0.848,0.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.122,0.13,0.132,0.125,0.12,0.118,0.12,0.12,0.127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGALS1,BCL2,0.034,0.034,,0.035,,0.035,0.034,0.034,0.035,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,0.017,0.018,,0.017,,0.018,0.016,0.016,0.019,0.292,0.294,,0.292,,0.292,0.292,0.293,0.295,0.848,0.85,,0.848,,0.85,0.848,0.848,0.85,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.001,0.001,,0.001,,0.001,0.001,0.001,0.001,0.124,0.125,,0.125,,0.127,0.123,0.125,0.126,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0
LGALS1,CD69,0.034,0.034,0.034,0.034,,0.034,0.034,0.034,0.035,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.016,0.019,0.017,0.016,,0.017,0.017,0.017,0.019,0.292,0.295,0.293,0.291,,0.292,0.292,0.295,0.294,0.848,0.85,0.85,0.848,,0.849,0.848,0.849,0.849,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.122,0.126,0.124,0.122,,0.126,0.124,0.127,0.127,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
LGALS1,PTPRC,0.034,0.034,,,,0.035,0.035,0.034,0.035,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.017,0.017,,,,0.018,0.018,0.018,0.018,0.294,0.292,,,,0.294,0.294,0.292,0.294,0.848,0.848,,,,0.85,0.848,0.849,0.848,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.001,0.001,,,,0.001,0.001,0.001,0.001,0.125,0.124,,,,0.127,0.126,0.124,0.126,1.0,1.0,,,,1.0,1.0,1.0,1.0
LGALS1,RET,,,,,,0.034,0.034,,,,,,,,1.0,1.0,,,,,,,,0.017,0.017,,,,,,,,0.292,0.292,,,,,,,,0.848,0.849,,,,,,,,0.0,0.0,,,,,,,,0.001,0.001,,,,,,,,0.126,0.126,,,,,,,,1.0,1.0,,
MYL9,CD69,0.868,0.875,0.873,0.866,,0.874,0.873,0.875,0.874,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.316,0.323,0.319,0.315,,0.32,0.319,0.323,0.323,0.537,0.541,0.538,0.53,,0.54,0.537,0.539,0.541,0.781,0.792,0.784,0.781,,0.781,0.781,0.786,0.789,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.928,0.938,0.936,0.93,,0.934,0.931,0.938,0.935,0.999,0.999,0.999,0.999,,0.999,0.999,0.999,0.999
TP53,HSPA1A,0.061,1.0,0.982,0.301,0.679,0.0,0.0,0.043,0.996,0.063,1.0,0.982,0.3,0.68,0.0,0.0,0.044,0.995,0.061,1.0,0.982,0.295,0.679,0.0,0.0,0.042,0.995,0.064,1.0,0.982,0.297,0.679,0.0,0.0,0.043,0.995,,,,,,,,,,0.063,1.0,0.982,0.296,0.68,0.0,0.0,0.042,0.995,0.06,1.0,0.982,0.298,0.679,0.0,0.0,0.042,0.995,0.063,1.0,0.982,0.298,0.681,0.0,0.0,0.043,0.995,0.063,1.0,0.982,0.303,0.685,0.0,0.0,0.044,0.995
DCN,LRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.093,0.049,0.013,0.284,0.045,0.031,0.004,0.081,0.052,0.098,0.092,0.059,0.144,0.082,0.073,0.047,0.093,0.55,0.652,0.62,0.54,0.703,0.613,0.596,0.521,0.645,0.886,0.922,0.911,0.886,0.931,0.91,0.902,0.88,0.919,0.848,0.966,0.94,0.838,0.976,0.928,0.921,0.805,0.96,0.959,0.996,0.988,0.961,0.996,0.988,0.982,0.948,0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991,1.0,1.0,0.971,1.0,1.0,1.0,0.976,1.0
IL6,DCN,0.0,0.006,0.044,0.531,0.88,0.8,0.947,0.0,0.976,0.0,0.05,0.082,0.616,0.912,0.941,0.99,0.0,1.0,0.0,0.102,0.096,0.648,0.925,0.966,0.993,0.0,1.0,0.0,0.002,0.039,0.509,0.869,0.745,0.933,0.0,0.925,0.0,0.051,0.075,0.585,0.895,0.899,0.977,0.0,0.998,0.0,0.078,0.095,0.644,0.92,0.957,0.994,0.0,1.0,0.0,0.086,0.097,0.643,0.921,0.957,0.99,0.0,1.0,0.0,0.062,0.084,0.625,0.915,0.95,0.993,0.0,1.0,0.0,0.06,0.087,0.63,0.917,0.956,0.992,0.0,1.0
