,,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T
,,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP7,PTGS1,12.475247524752476,12.79027902790279,12.907973833097595,12.613330975954739,12.720810760321315,0.0,0.0,0.0,12.48118811881188,0.0,28.563756375637563,28.87878787878788,28.996482683982684,28.701839826839826,28.8093196112064,0.0,0.0,0.0,28.56969696969697,0.0,36.754773691654876,37.06980519480519,37.1875,36.89285714285714,37.00033692722372,0.0,0.0,0.0,36.760714285714286,0.0,12.4988213107025,12.813852813852813,12.931547619047619,12.636904761904763,12.74438454627134,0.0,0.0,0.0,12.504761904761905,0.0,30.367644311600973,30.68267581475129,30.800370619946094,30.505727762803236,30.61320754716981,0.0,0.0,0.0,30.37358490566038,0.0,6.594059405940594,6.909090909090909,7.026785714285714,6.732142857142857,6.839622641509434,0.0,0.0,0.0,6.6,0.0,3.594059405940594,3.909090909090909,4.026785714285714,3.732142857142857,3.839622641509434,0.0,0.0,0.0,3.6,0.0,10.594059405940595,10.909090909090908,11.026785714285714,10.732142857142858,10.839622641509434,0.0,0.0,0.0,10.6,0.0,19.289220696263175,19.60425219941349,19.721947004608296,19.42730414746544,19.534783931832013,0.0,0.0,0.0,19.295161290322582,0.0,10.094059405940595,10.409090909090908,10.526785714285714,10.232142857142858,10.339622641509434,0.0,0.0,0.0,10.1,0.0
IGFBP7,NEO1,12.46039603960396,12.578157815781578,12.550830975954739,12.518092880716644,12.588735288623202,12.881188118811881,0.0,12.431188118811882,12.547317151069945,0.0,28.548904890489048,28.666666666666664,28.639339826839826,28.60660173160173,28.67724413950829,28.96969696969697,0.0,28.51969696969697,28.635826001955035,0.0,36.739922206506364,36.85768398268398,36.83035714285714,36.797619047619044,36.868261455525605,37.160714285714285,0.0,36.71071428571428,36.82684331797235,0.0,12.483969825553984,12.601731601731602,12.574404761904763,12.541666666666668,12.612309074573226,12.904761904761905,0.0,12.454761904761906,12.57089093701997,0.0,30.352792826452458,30.470554602630074,30.443227762803236,30.41048966756514,30.4811320754717,30.77358490566038,0.0,30.32358490566038,30.439713937918444,0.0,6.579207920792079,6.696969696969697,6.669642857142857,6.636904761904762,6.7075471698113205,7.0,0.0,6.55,6.666129032258064,0.0,3.5792079207920793,3.696969696969697,3.669642857142857,3.636904761904762,3.707547169811321,4.0,0.0,3.55,3.6661290322580644,0.0,10.57920792079208,10.696969696969697,10.669642857142858,10.636904761904763,10.70754716981132,11.0,0.0,10.55,10.666129032258064,0.0,19.27436921111466,19.392130987292276,19.36480414746544,19.332066052227344,19.4027084601339,19.69516129032258,0.0,19.24516129032258,19.361290322580647,0.0,10.07920792079208,10.196969696969697,10.169642857142858,10.136904761904763,10.20754716981132,10.5,0.0,10.05,10.166129032258064,0.0
IGFBP7,IL6R,12.400990099009901,12.411491149114912,12.421366690240452,12.476426214049976,12.42364094900056,0.0,0.0,12.431188118811882,12.406994570424784,0.0,28.489498949894987,28.5,28.509875541125542,28.564935064935064,28.51214979988565,0.0,0.0,28.51969696969697,28.495503421309873,0.0,36.6805162659123,36.691017316017316,36.700892857142854,36.75595238095238,36.703167115902964,0.0,0.0,36.71071428571428,36.686520737327186,0.0,12.424563884959925,12.435064935064936,12.444940476190476,12.5,12.447214734950585,0.0,0.0,12.454761904761906,12.430568356374808,0.0,30.293386885858396,30.30388793596341,30.31376347708895,30.368823000898473,30.316037735849058,0.0,0.0,30.32358490566038,30.299391357273283,0.0,6.51980198019802,6.53030303030303,6.540178571428571,6.595238095238095,6.5424528301886795,0.0,0.0,6.55,6.525806451612903,0.0,3.51980198019802,3.5303030303030303,3.5401785714285716,3.5952380952380953,3.542452830188679,0.0,0.0,3.55,3.5258064516129033,0.0,10.51980198019802,10.530303030303031,10.540178571428571,10.595238095238095,10.54245283018868,0.0,0.0,10.55,10.525806451612903,0.0,19.2149632705206,19.225464320625612,19.235339861751154,19.290399385560676,19.23761412051126,0.0,0.0,19.24516129032258,19.220967741935485,0.0,10.01980198019802,10.030303030303031,10.040178571428571,10.095238095238095,10.04245283018868,0.0,0.0,10.05,10.025806451612903,0.0
IGFBP7,ISLR2,12.386138613861386,12.396339633963397,12.43475954738331,12.399045261669023,12.41420698673641,0.0,0.0,12.431188118811882,12.39086553816672,0.0,28.474647464746475,28.484848484848484,28.523268398268396,28.48755411255411,28.502715837621498,0.0,0.0,28.51969696969697,28.479374389051806,0.0,36.66566478076379,36.6758658008658,36.714285714285715,36.67857142857143,36.69373315363881,0.0,0.0,36.71071428571428,36.67039170506912,0.0,12.40971239981141,12.41991341991342,12.458333333333334,12.422619047619047,12.437780772686434,0.0,0.0,12.454761904761906,12.414439324116744,0.0,30.278535400709885,30.288736420811894,30.327156334231805,30.29144204851752,30.306603773584907,0.0,0.0,30.32358490566038,30.283262325015215,0.0,6.5049504950495045,6.515151515151516,6.553571428571429,6.517857142857143,6.533018867924528,0.0,0.0,6.55,6.509677419354839,0.0,3.504950495049505,3.515151515151515,3.5535714285714284,3.517857142857143,3.5330188679245285,0.0,0.0,3.55,3.509677419354839,0.0,10.504950495049505,10.515151515151516,10.553571428571429,10.517857142857142,10.533018867924529,0.0,0.0,10.55,10.509677419354839,0.0,19.200111785372087,19.210312805474096,19.248732718894008,19.213018433179723,19.22818015824711,0.0,0.0,19.24516129032258,19.204838709677418,0.0,10.004950495049505,10.015151515151516,10.053571428571429,10.017857142857142,10.033018867924529,0.0,0.0,10.05,10.009677419354839,0.0
IGFBP7,IGDCC4,12.39108910891089,0.0,12.399045261669023,12.428807166430929,12.418923967868485,0.0,0.0,0.0,12.403768763973172,0.0,28.479597959795978,0.0,28.48755411255411,28.517316017316016,28.50743281875357,0.0,0.0,0.0,28.49227761485826,0.0,36.6706152758133,0.0,36.67857142857143,36.708333333333336,36.69845013477089,0.0,0.0,0.0,36.683294930875576,0.0,12.414662894860914,0.0,12.422619047619047,12.452380952380953,12.44249775381851,0.0,0.0,0.0,12.427342549923196,0.0,30.283485895759387,0.0,30.29144204851752,30.321203953279426,30.31132075471698,0.0,0.0,0.0,30.29616555082167,0.0,6.50990099009901,0.0,6.517857142857143,6.5476190476190474,6.537735849056604,0.0,0.0,0.0,6.52258064516129,0.0,3.50990099009901,0.0,3.517857142857143,3.5476190476190474,3.5377358490566038,0.0,0.0,0.0,3.52258064516129,0.0,10.509900990099009,0.0,10.517857142857142,10.547619047619047,10.537735849056604,0.0,0.0,0.0,10.522580645161291,0.0,19.20506228042159,0.0,19.213018433179723,19.24278033794163,19.232897139379183,0.0,0.0,0.0,19.217741935483872,0.0,10.009900990099009,0.0,10.017857142857142,10.047619047619047,10.037735849056604,0.0,0.0,0.0,10.022580645161291,0.0
IGFBP7,PRTG,12.396039603960396,12.396339633963397,12.399045261669023,12.399045261669023,12.42364094900056,0.0,0.0,0.0,12.397317151069945,0.0,28.484548454845484,28.484848484848484,28.48755411255411,28.48755411255411,28.51214979988565,0.0,0.0,0.0,28.485826001955033,0.0,36.6755657708628,36.6758658008658,36.67857142857143,36.67857142857143,36.703167115902964,0.0,0.0,0.0,36.67684331797235,0.0,12.41961338991042,12.41991341991342,12.422619047619047,12.422619047619047,12.447214734950585,0.0,0.0,0.0,12.42089093701997,0.0,30.288436390808894,30.288736420811894,30.29144204851752,30.29144204851752,30.316037735849058,0.0,0.0,0.0,30.289713937918442,0.0,6.514851485148514,6.515151515151516,6.517857142857143,6.517857142857143,6.5424528301886795,0.0,0.0,0.0,6.516129032258065,0.0,3.514851485148515,3.515151515151515,3.517857142857143,3.517857142857143,3.542452830188679,0.0,0.0,0.0,3.5161290322580645,0.0,10.514851485148515,10.515151515151516,10.517857142857142,10.517857142857142,10.54245283018868,0.0,0.0,0.0,10.516129032258064,0.0,19.210012775471096,19.210312805474096,19.213018433179723,19.213018433179723,19.23761412051126,0.0,0.0,0.0,19.211290322580645,0.0,10.014851485148515,10.015151515151516,10.017857142857142,10.017857142857142,10.04245283018868,0.0,0.0,0.0,10.016129032258064,0.0
IGFBP7,IGDCC3,12.39108910891089,12.396339633963397,12.407973833097595,12.387140499764262,0.0,0.0,0.0,0.0,12.389252634940913,0.0,28.479597959795978,28.484848484848484,28.496482683982684,28.47564935064935,0.0,0.0,0.0,0.0,28.477761485826,0.0,36.6706152758133,36.6758658008658,36.6875,36.666666666666664,0.0,0.0,0.0,0.0,36.66877880184332,0.0,12.414662894860914,12.41991341991342,12.431547619047619,12.410714285714286,0.0,0.0,0.0,0.0,12.412826420890937,0.0,30.283485895759387,30.288736420811894,30.300370619946094,30.279537286612758,0.0,0.0,0.0,0.0,30.28164942178941,0.0,6.50990099009901,6.515151515151516,6.526785714285714,6.505952380952381,0.0,0.0,0.0,0.0,6.508064516129032,0.0,3.50990099009901,3.515151515151515,3.5267857142857144,3.505952380952381,0.0,0.0,0.0,0.0,3.5080645161290325,0.0,10.509900990099009,10.515151515151516,10.526785714285714,10.505952380952381,0.0,0.0,0.0,0.0,10.508064516129032,0.0,19.20506228042159,19.210312805474096,19.221947004608296,19.20111367127496,0.0,0.0,0.0,0.0,19.203225806451613,0.0,10.009900990099009,10.015151515151516,10.026785714285714,10.005952380952381,0.0,0.0,0.0,0.0,10.008064516129032,0.0
IGFBP7,MPIG6B,0.0,12.396339633963397,0.0,0.0,0.0,0.0,0.0,0.0,12.382801022037688,0.0,0.0,28.484848484848484,0.0,0.0,0.0,0.0,0.0,0.0,28.471309872922774,0.0,0.0,36.6758658008658,0.0,0.0,0.0,0.0,0.0,0.0,36.66232718894009,0.0,0.0,12.41991341991342,0.0,0.0,0.0,0.0,0.0,0.0,12.406374807987712,0.0,0.0,30.288736420811894,0.0,0.0,0.0,0.0,0.0,0.0,30.275197808886183,0.0,0.0,6.515151515151516,0.0,0.0,0.0,0.0,0.0,0.0,6.501612903225807,0.0,0.0,3.515151515151515,0.0,0.0,0.0,0.0,0.0,0.0,3.5016129032258063,0.0,0.0,10.515151515151516,0.0,0.0,0.0,0.0,0.0,0.0,10.501612903225807,0.0,0.0,19.210312805474096,0.0,0.0,0.0,0.0,0.0,0.0,19.196774193548386,0.0,0.0,10.015151515151516,0.0,0.0,0.0,0.0,0.0,0.0,10.001612903225807,0.0
