,,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T
,,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP7,PTGS1,1.0,1.0,1.0,1.0,1.0,,,,1.0,,0.043,0.033,0.031,0.039,0.035,,,,0.043,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.886,0.868,0.867,0.879,0.868,,,,0.886,,0.959,0.95,0.948,0.952,0.948,,,,0.959,,0.989,0.987,0.984,0.989,0.986,,,,0.99,,1.0,0.998,0.997,1.0,0.998,,,,1.0,,0.699,0.684,0.681,0.688,0.684,,,,0.699,
IGFBP7,NEO1,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,0.043,0.04,0.038,0.041,0.04,0.032,,0.042,0.041,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.886,0.873,0.871,0.88,0.868,0.854,,0.883,0.871,,0.959,0.951,0.952,0.957,0.948,0.94,,0.957,0.951,,0.99,0.988,0.988,0.988,0.987,0.984,,0.988,0.988,,1.0,0.999,1.0,1.0,0.999,0.996,,1.0,0.999,,0.699,0.683,0.685,0.696,0.681,0.674,,0.696,0.686,
IGFBP7,IL6R,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,0.042,0.041,0.041,0.038,0.041,,,0.04,0.042,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.883,0.875,0.872,0.867,0.871,,,0.871,0.885,,0.957,0.953,0.953,0.948,0.948,,,0.95,0.959,,0.988,0.988,0.988,0.987,0.988,,,0.988,0.988,,1.0,1.0,1.0,0.999,1.0,,,1.0,1.0,,0.697,0.69,0.685,0.681,0.685,,,0.686,0.699,
IGFBP7,ISLR2,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,0.041,0.04,0.041,0.04,,,0.039,0.042,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.871,0.867,0.875,0.869,,,0.869,0.886,,,0.955,0.948,0.954,0.948,,,0.948,0.959,,,0.988,0.988,0.988,0.988,,,0.987,0.988,,,1.0,0.999,1.0,1.0,,,0.999,1.0,,,0.686,0.681,0.69,0.683,,,0.682,0.699,
IGFBP7,IGDCC4,1.0,,1.0,1.0,1.0,,,,1.0,,0.042,,0.041,0.04,0.04,,,,0.042,,0.0,,0.0,0.0,0.0,,,,0.0,,1.0,,1.0,1.0,1.0,,,,1.0,,0.0,,0.0,0.0,0.0,,,,0.0,,0.886,,0.877,0.867,0.867,,,,0.879,,0.959,,0.956,0.948,0.948,,,,0.953,,0.988,,0.988,0.988,0.988,,,,0.988,,1.0,,1.0,0.999,1.0,,,,1.0,,0.698,,0.695,0.681,0.682,,,,0.693,
IGFBP7,PRTG,1.0,1.0,1.0,1.0,1.0,,,,1.0,,0.041,0.04,0.04,0.04,0.04,,,,0.042,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.879,0.879,0.872,0.875,0.867,,,,0.881,,0.956,0.95,0.953,0.952,0.948,,,,0.956,,0.988,0.988,0.988,0.988,0.988,,,,0.988,,1.0,1.0,1.0,1.0,0.999,,,,1.0,,0.689,0.688,0.688,0.69,0.681,,,,0.694,
IGFBP7,IGDCC3,1.0,1.0,1.0,1.0,,,,,1.0,,0.042,0.04,0.04,0.04,,,,,0.04,,0.0,0.0,0.0,0.0,,,,,0.0,,1.0,1.0,1.0,1.0,,,,,1.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.874,0.868,0.867,0.88,,,,,0.882,,0.95,0.951,0.948,0.955,,,,,0.953,,0.988,0.988,0.988,0.988,,,,,0.988,,1.0,1.0,1.0,1.0,,,,,1.0,,0.689,0.681,0.681,0.69,,,,,0.691,
IGFBP7,MPIG6B,,1.0,,,,,,,,,,0.04,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,0.867,,,,,,,,,,0.948,,,,,,,,,,0.988,,,,,,,,,,1.0,,,,,,,,,,0.681,,,,,,,,
LGALS1,ITGB1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.888,0.737,0.743,0.842,0.747,0.851,0.844,0.771,0.741,,0.189,0.029,0.033,0.104,0.026,0.25,0.251,0.056,0.022,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.542,0.18,0.165,0.376,0.181,0.504,0.488,0.259,0.157,,0.891,0.881,0.88,0.888,0.88,0.883,0.884,0.884,0.88,,0.893,0.881,0.88,0.889,0.88,0.894,0.877,0.883,0.88,,0.986,0.97,0.97,0.979,0.972,0.981,0.978,0.968,0.969,,0.0,0.0,0.0,0.0,0.0,0.008,0.004,0.0,0.0,,0.973,0.96,0.958,0.972,0.958,0.969,0.967,0.965,0.958,
LGALS1,STAT3,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.799,0.787,0.76,0.775,0.758,,,0.799,0.779,0.76,0.054,0.052,0.035,0.042,0.035,,,0.059,0.044,0.042,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.269,0.244,0.188,0.227,0.193,,,0.274,0.233,0.201,0.886,0.884,0.88,0.883,0.88,,,0.886,0.885,0.875,0.887,0.887,0.88,0.883,0.88,,,0.884,0.887,0.875,0.975,0.974,0.972,0.973,0.972,,,0.974,0.973,0.97,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.971,0.971,0.958,0.966,0.958,,,0.97,0.97,0.952
