,,B,B,B,B,B,B,B,B,B,B,B,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T
,,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGHG1,FCGR2B,138.79999999999998,138.74872881355932,0.0,0.0,138.71102941176468,138.7108695652174,138.75,0.0,0.0,0.0,0.0,7.739830508474576,7.688559322033898,0.0,0.0,7.650859920239282,7.650700073691968,7.689830508474576,0.0,0.0,0.0,0.0,2.1,2.0487288135593222,0.0,0.0,2.011029411764706,2.010869565217391,2.05,0.0,0.0,0.0,0.0,39.25,39.19872881355932,0.0,0.0,39.1610294117647,39.16086956521739,39.199999999999996,0.0,0.0,0.0,0.0,5.728676470588235,5.677405284147557,0.0,0.0,5.639705882352941,5.639546035805627,5.678676470588235,0.0,0.0,0.0,0.0,24.741304347826087,24.690033161385408,0.0,0.0,24.652333759590793,24.652173913043477,24.691304347826087,0.0,0.0,0.0,0.0,1.85,1.798728813559322,0.0,0.0,1.7610294117647058,1.7608695652173914,1.8,0.0,0.0,0.0,0.0,6.1,6.048728813559322,0.0,0.0,6.011029411764706,6.010869565217392,6.05,0.0,0.0,0.0,0.0,0.475,0.423728813559322,0.0,0.0,0.3860294117647059,0.3858695652173913,0.425,0.0,0.0,0.0,0.0,7.569879518072288,7.518608331631611,0.0,0.0,7.480908929836994,7.48074908328968,7.519879518072289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGHG1,FCGR3B,138.75,138.71271186440677,0.0,138.75,138.76985294117645,138.77608695652174,0.0,0.0,0.0,138.71807228915662,0.0,7.689830508474576,7.6525423728813555,0.0,7.689830508474576,7.709683449651047,7.715917464996315,0.0,0.0,0.0,7.657902797631203,0.0,2.05,2.01271186440678,0.0,2.05,2.0698529411764706,2.0760869565217392,0.0,0.0,0.0,2.0180722891566263,0.0,39.199999999999996,39.16271186440678,0.0,39.199999999999996,39.21985294117647,39.22608695652174,0.0,0.0,0.0,39.168072289156626,0.0,5.678676470588235,5.641388334995015,0.0,5.678676470588235,5.6985294117647065,5.704763427109975,0.0,0.0,0.0,5.646748759744862,0.0,24.691304347826087,24.654016212232865,0.0,24.691304347826087,24.711157289002557,24.717391304347824,0.0,0.0,0.0,24.659376636982714,0.0,1.8,1.7627118644067796,0.0,1.8,1.8198529411764706,1.8260869565217392,0.0,0.0,0.0,1.7680722891566265,0.0,6.05,6.012711864406779,0.0,6.05,6.069852941176471,6.076086956521739,0.0,0.0,0.0,6.018072289156627,0.0,0.425,0.3877118644067797,0.0,0.425,0.44485294117647056,0.45108695652173914,0.0,0.0,0.0,0.3930722891566265,0.0,7.519879518072289,7.482591382479068,0.0,7.519879518072289,7.53973245924876,7.545966474594028,0.0,0.0,0.0,7.4879518072289155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A6,PTK2,11.275,11.217796610169492,0.0,11.25,11.249264705882354,11.486956521739131,11.200000000000001,0.0,0.0,11.210240963855423,0.0,6.790254237288136,6.733050847457627,0.0,6.7652542372881355,6.764518943170489,7.002210759027267,6.715254237288136,0.0,0.0,6.725495201143557,0.0,2.8916666666666666,2.834463276836158,0.0,2.8666666666666667,2.8659313725490194,3.103623188405797,2.8166666666666664,0.0,0.0,2.826907630522088,0.0,10.625,10.567796610169491,0.0,10.6,10.599264705882353,10.83695652173913,10.55,0.0,0.0,10.560240963855422,0.0,3.9669117647058822,3.9097083748753736,0.0,3.9419117647058823,3.941176470588235,4.178868286445013,3.891911764705882,0.0,0.0,3.902152728561304,0.0,19.179347826086957,19.12214443625645,0.0,19.15434782608696,19.15361253196931,19.391304347826086,19.104347826086958,0.0,0.0,19.114588789942378,0.0,2.475,2.4177966101694914,0.0,2.45,2.449264705882353,2.6869565217391305,2.4,0.0,0.0,2.4102409638554216,0.0,1.325,1.2677966101694915,0.0,1.3,1.299264705882353,1.5369565217391303,1.25,0.0,0.0,1.2602409638554217,0.0,1.875,1.8177966101694916,0.0,1.85,1.849264705882353,2.0869565217391304,1.8,0.0,0.0,1.8102409638554218,0.0,6.932228915662651,6.875025525832142,0.0,6.9072289156626505,6.906493621545004,7.144185437401782,6.857228915662651,0.0,0.0,6.867469879518072,0.0,0.625,0.5677966101694916,0.0,0.6,0.5992647058823529,0.8369565217391304,0.55,0.0,0.0,0.5602409638554217,0.0
S100A6,ESR1,11.225,11.24322033898305,11.450000000000001,11.25,11.344852941176471,11.236956521739131,11.200000000000001,0.0,0.0,11.37289156626506,0.0,6.740254237288136,6.758474576271187,6.965254237288136,6.7652542372881355,6.860107178464607,6.752210759027267,6.715254237288136,0.0,0.0,6.888145803553196,0.0,2.841666666666667,2.8598870056497177,3.0666666666666664,2.8666666666666667,2.961519607843137,2.853623188405797,2.8166666666666664,0.0,0.0,2.989558232931727,0.0,10.575,10.59322033898305,10.8,10.6,10.694852941176471,10.58695652173913,10.55,0.0,0.0,10.72289156626506,0.0,3.9169117647058824,3.9351321036889333,4.141911764705882,3.9419117647058823,4.036764705882353,3.9288682864450126,3.891911764705882,0.0,0.0,4.064803330970943,0.0,19.129347826086956,19.14756816507001,19.354347826086958,19.15434782608696,19.249200767263428,19.141304347826086,19.104347826086958,0.0,0.0,19.277239392352016,0.0,2.4250000000000003,2.443220338983051,2.65,2.45,2.5448529411764707,2.4369565217391305,2.4,0.0,0.0,2.5728915662650604,0.0,1.275,1.2932203389830508,1.5,1.3,1.3948529411764705,1.2869565217391303,1.25,0.0,0.0,1.42289156626506,0.0,1.825,1.8432203389830508,2.05,1.85,1.9448529411764706,1.8369565217391304,1.8,0.0,0.0,1.9728915662650603,0.0,6.882228915662651,6.900449254645702,7.107228915662651,6.9072289156626505,7.002081856839122,6.894185437401782,6.857228915662651,0.0,0.0,7.030120481927711,0.0,0.575,0.5932203389830508,0.8,0.6,0.6948529411764706,0.5869565217391304,0.55,0.0,0.0,0.7228915662650602,0.0
LGALS1,ITGB1,13.575,13.20593220338983,13.183333333333334,13.5,13.353676470588235,14.013043478260869,13.1,13.25,12.891666666666666,13.669277108433734,0.0,7.379661016949152,7.010593220338983,6.987994350282485,7.304661016949153,7.158337487537388,7.817704495210021,6.904661016949152,7.054661016949153,6.696327683615819,7.473938125382887,0.0,3.225,2.8559322033898304,2.8333333333333335,3.15,3.0036764705882355,3.6630434782608696,2.75,2.9,2.5416666666666665,3.319277108433735,0.0,14.525,14.155932203389831,14.133333333333335,14.450000000000001,14.303676470588236,14.96304347826087,14.05,14.200000000000001,13.841666666666667,14.619277108433735,0.0,4.688235294117647,4.319167497507478,4.296568627450981,4.613235294117647,4.466911764705882,5.126278772378517,4.213235294117647,4.363235294117647,4.004901960784314,4.782512402551382,0.0,14.377173913043478,14.008106116433309,13.985507246376812,14.302173913043479,14.155850383631714,14.815217391304348,13.902173913043478,14.052173913043479,13.693840579710145,14.471451021477213,0.0,3.1750000000000003,2.8059322033898306,2.7833333333333337,3.1,2.9536764705882357,3.61304347826087,2.7,2.85,2.4916666666666667,3.269277108433735,0.0,3.625,3.2559322033898304,3.2333333333333334,3.55,3.403676470588235,4.0630434782608695,3.15,3.3,2.9416666666666664,3.719277108433735,0.0,1.6833333333333333,1.314265536723164,1.2916666666666667,1.6083333333333334,1.4620098039215685,2.121376811594203,1.2083333333333335,1.3583333333333334,1.0,1.7776104417670684,0.0,13.110542168674698,12.741474372064529,12.718875502008032,13.035542168674699,12.889218639262934,13.548585646935567,12.635542168674698,12.785542168674699,12.427208835341364,13.204819277108433,0.0,1.1,0.7309322033898304,0.7083333333333333,1.025,0.8786764705882353,1.5380434782608696,0.625,0.775,0.4166666666666667,1.194277108433735,0.0
LGALS1,STAT3,12.975,12.947457627118643,12.916666666666666,12.9,12.967647058823529,13.121739130434783,12.95,0.0,0.0,12.976506024096386,0.0,6.779661016949152,6.752118644067797,6.721327683615819,6.704661016949152,6.772308075772681,6.9264001473839345,6.754661016949152,0.0,0.0,6.781167041045538,0.0,2.625,2.597457627118644,2.566666666666667,2.55,2.6176470588235294,2.7717391304347827,2.6,0.0,0.0,2.6265060240963853,0.0,13.925,13.897457627118644,13.866666666666667,13.850000000000001,13.91764705882353,14.071739130434784,13.9,0.0,0.0,13.926506024096387,0.0,4.088235294117647,4.060692921236291,4.029901960784314,4.0132352941176475,4.080882352941177,4.23497442455243,4.063235294117647,0.0,0.0,4.089741318214033,0.0,13.777173913043478,13.749631540162122,13.718840579710145,13.70217391304348,13.769820971867007,13.923913043478262,13.752173913043478,0.0,0.0,13.778679937139865,0.0,2.575,2.547457627118644,2.516666666666667,2.5,2.5676470588235296,2.721739130434783,2.5500000000000003,0.0,0.0,2.5765060240963855,0.0,3.025,2.997457627118644,2.966666666666667,2.9499999999999997,3.0176470588235293,3.1717391304347826,3.0,0.0,0.0,3.0265060240963853,0.0,1.0833333333333335,1.0557909604519775,1.0250000000000001,1.0083333333333333,1.0759803921568627,1.230072463768116,1.0583333333333333,0.0,0.0,1.0848393574297188,0.0,12.510542168674698,12.482999795793342,12.452208835341365,12.435542168674699,12.503189227498227,12.657281299109481,12.485542168674698,0.0,0.0,12.512048192771084,0.0,0.5,0.4724576271186441,0.44166666666666665,0.425,0.49264705882352944,0.6467391304347826,0.475,0.0,0.0,0.5015060240963856,0.0
LGALS1,PTPRC,13.1,12.896610169491526,0.0,13.049999999999999,12.930882352941175,12.926086956521738,0.0,12.95,0.0,12.862048192771084,0.0,6.904661016949152,6.701271186440677,0.0,6.854661016949152,6.735543369890329,6.7307479734708915,0.0,6.754661016949152,0.0,6.666709209720237,0.0,2.75,2.5466101694915255,0.0,2.7,2.5808823529411766,2.5760869565217392,0.0,2.6,0.0,2.5120481927710845,0.0,14.05,13.846610169491527,0.0,14.0,13.880882352941176,13.876086956521739,0.0,13.9,0.0,13.812048192771085,0.0,4.213235294117647,4.009845463609173,0.0,4.163235294117647,4.044117647058823,4.039322250639386,0.0,4.063235294117647,0.0,3.9752834868887317,0.0,13.902173913043478,13.698784082535004,0.0,13.852173913043478,13.733056265984654,13.728260869565217,0.0,13.752173913043478,0.0,13.664222105814563,0.0,2.7,2.4966101694915257,0.0,2.6500000000000004,2.530882352941177,2.5260869565217394,0.0,2.5500000000000003,0.0,2.4620481927710847,0.0,3.15,2.9466101694915254,0.0,3.1,2.9808823529411765,2.976086956521739,0.0,3.0,0.0,2.9120481927710844,0.0,1.2083333333333335,1.0049435028248588,0.0,1.1583333333333334,1.0392156862745099,1.0344202898550725,0.0,1.0583333333333333,0.0,0.9703815261044177,0.0,12.635542168674698,12.432152338166224,0.0,12.585542168674698,12.466424521615874,12.461629125196437,0.0,12.485542168674698,0.0,12.397590361445783,0.0,0.625,0.4216101694915254,0.0,0.575,0.45588235294117646,0.45108695652173914,0.0,0.475,0.0,0.3870481927710843,0.0
DCN,LRP1,13.850000000000001,12.715254237288136,12.091666666666667,13.075000000000001,12.649264705882354,13.229347826086958,12.325000000000001,12.025,12.341666666666667,12.906927710843375,12.05,8.865677966101694,7.7309322033898304,7.107344632768362,8.090677966101694,7.664942671984048,8.24502579218865,7.340677966101695,7.040677966101694,7.357344632768362,7.922605676945068,7.065677966101695,4.258333333333334,3.123587570621469,2.5,3.4833333333333334,3.0575980392156863,3.63768115942029,2.7333333333333334,2.4333333333333336,2.75,3.315261044176707,2.4583333333333335,11.475000000000001,10.340254237288136,9.716666666666667,10.700000000000001,10.274264705882354,10.854347826086958,9.950000000000001,9.65,9.966666666666667,10.531927710843375,9.675,6.4875,5.352754237288136,4.729166666666667,5.7125,5.286764705882353,5.866847826086957,4.9625,4.6625,4.979166666666667,5.544427710843373,4.6875,11.131521739130436,9.99677597641857,9.373188405797102,10.356521739130436,9.930786445012789,10.510869565217392,9.606521739130436,9.306521739130435,9.623188405797102,10.18844944997381,9.331521739130435,6.575,5.440254237288136,4.816666666666667,5.800000000000001,5.374264705882354,5.954347826086957,5.050000000000001,4.75,5.066666666666667,5.631927710843374,4.775,4.225,3.0902542372881356,2.4666666666666663,3.4499999999999997,3.0242647058823526,3.6043478260869564,2.6999999999999997,2.4,2.7166666666666663,3.281927710843373,2.425,6.341666666666667,5.206920903954803,4.583333333333334,5.566666666666666,5.14093137254902,5.721014492753623,4.816666666666667,4.516666666666667,4.833333333333334,5.39859437751004,4.541666666666667,9.912951807228916,8.77820604451705,8.154618473895582,9.137951807228916,8.712216513111269,9.292299633315872,8.387951807228916,8.087951807228915,8.404618473895582,8.96987951807229,8.112951807228916,2.175,1.0402542372881356,0.41666666666666663,1.4,0.9742647058823529,1.5543478260869565,0.65,0.35,0.6666666666666667,1.2319277108433735,0.375
LGALS1,CD69,13.0,12.909322033898304,12.916666666666666,12.95,12.87205882352941,12.904347826086957,0.0,0.0,0.0,12.886144578313253,0.0,6.804661016949153,6.713983050847458,6.721327683615819,6.754661016949152,6.676719840478564,6.709008843036108,0.0,0.0,0.0,6.690805595262405,0.0,2.65,2.559322033898305,2.566666666666667,2.6,2.5220588235294117,2.5543478260869565,0.0,0.0,0.0,2.536144578313253,0.0,13.950000000000001,13.859322033898305,13.866666666666667,13.9,13.822058823529412,13.854347826086958,0.0,0.0,0.0,13.836144578313254,0.0,4.113235294117647,4.022557328015952,4.029901960784314,4.063235294117647,3.985294117647059,4.017583120204604,0.0,0.0,0.0,3.9993798724309,0.0,13.802173913043479,13.711495946941783,13.718840579710145,13.752173913043478,13.67423273657289,13.706521739130435,0.0,0.0,0.0,13.688318491356732,0.0,2.6,2.509322033898305,2.516666666666667,2.5500000000000003,2.472058823529412,2.5043478260869567,0.0,0.0,0.0,2.486144578313253,0.0,3.05,2.959322033898305,2.966666666666667,3.0,2.9220588235294116,2.9543478260869565,0.0,0.0,0.0,2.936144578313253,0.0,1.1083333333333334,1.0176553672316384,1.0250000000000001,1.0583333333333333,0.9803921568627452,1.0126811594202898,0.0,0.0,0.0,0.9944779116465864,0.0,12.535542168674699,12.444864202573003,12.452208835341365,12.485542168674698,12.40760099220411,12.439889994761655,0.0,0.0,0.0,12.421686746987952,0.0,0.525,0.4343220338983051,0.44166666666666665,0.475,0.39705882352941174,0.42934782608695654,0.0,0.0,0.0,0.411144578313253,0.0
