,,B,B,B,B,B,B,B,B,B,B,B,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,Treg,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T
,,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T,B,CD4 T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,Treg,γδ T
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGHG1,FCGR2B,0.0,0.0,,,0.0,0.0,0.0,,,,,0.998,0.998,,,0.998,0.998,0.998,,,,,0.97,0.974,,,0.976,0.976,0.972,,,,,0.061,0.062,,,0.062,0.062,0.062,,,,,0.999,0.999,,,0.999,0.999,0.999,,,,,0.043,0.045,,,0.045,0.045,0.044,,,,,0.921,0.924,,,0.929,0.929,0.922,,,,,0.487,0.489,,,0.491,0.49,0.489,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,0.94,0.942,,,0.944,0.944,0.944,,,,,,,,,,,,,,,
IGHG1,FCGR3B,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.998,0.998,,0.998,0.998,0.998,,,,0.998,,0.975,0.976,,0.975,0.973,0.974,,,,0.976,,0.062,0.062,,0.062,0.062,0.062,,,,0.062,,0.999,0.999,,0.999,0.999,0.999,,,,0.999,,0.044,0.045,,0.044,0.044,0.045,,,,0.045,,0.926,0.929,,0.924,0.924,0.923,,,,0.928,,0.489,0.491,,0.489,0.489,0.489,,,,0.49,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,0.942,0.944,,0.942,0.942,0.94,,,,0.945,,,,,,,,,,,,
S100A6,PTK2,0.013,0.012,,0.012,0.012,0.008,0.012,,,0.012,,0.674,0.726,,0.695,0.709,0.479,0.741,,,0.732,,0.996,0.997,,0.996,0.997,0.99,0.997,,,0.997,,0.09,0.092,,0.092,0.09,0.077,0.091,,,0.091,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.987,0.988,,0.986,0.987,0.98,0.987,,,0.988,,0.99,0.991,,0.99,0.991,0.986,0.99,,,0.99,,0.998,1.0,,0.998,0.999,0.997,1.0,,,1.0,,0.493,0.528,,0.506,0.512,0.393,0.525,,,0.529,,0.996,0.997,,0.996,0.996,0.988,0.998,,,0.997,
S100A6,ESR1,0.012,0.012,0.01,0.012,0.012,0.013,0.014,,,0.011,,0.753,0.738,0.545,0.727,0.654,0.738,0.767,,,0.622,,0.998,0.997,0.992,0.996,0.996,0.998,0.998,,,0.996,,0.094,0.094,0.083,0.091,0.087,0.092,0.094,,,0.087,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.989,0.989,0.982,0.986,0.986,0.988,0.988,,,0.985,,0.991,0.991,0.987,0.99,0.99,0.991,0.991,,,0.99,,1.0,1.0,0.997,0.998,0.998,1.0,1.0,,,0.998,,0.539,0.536,0.425,0.529,0.48,0.541,0.536,,,0.466,,0.997,0.997,0.99,0.997,0.996,0.997,0.997,,,0.996,
LGALS1,ITGB1,0.007,0.006,0.005,0.004,0.006,0.003,0.007,0.006,0.008,0.003,,0.883,0.983,0.982,0.895,0.968,0.594,0.991,0.957,0.995,0.854,,0.998,0.999,0.997,0.997,0.999,0.991,0.999,0.999,1.0,0.996,,0.019,0.027,0.027,0.027,0.025,0.013,0.025,0.023,0.029,0.022,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.982,0.993,0.991,0.981,0.987,0.966,0.988,0.985,0.997,0.981,,0.869,0.906,0.897,0.877,0.892,0.837,0.907,0.877,0.925,0.867,,0.999,1.0,1.0,0.999,1.0,0.998,1.0,0.999,1.0,0.999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.991,0.999,0.999,0.995,0.999,0.977,0.999,0.999,1.0,0.99,
LGALS1,STAT3,0.005,0.005,0.006,0.007,0.005,0.004,0.005,,,0.005,,0.956,0.964,0.969,0.975,0.962,0.917,0.969,,,0.962,,0.999,0.999,0.999,0.999,0.999,0.998,0.999,,,0.999,,0.025,0.024,0.024,0.025,0.024,0.023,0.024,,,0.024,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.988,0.988,0.988,0.989,0.987,0.984,0.987,,,0.987,,0.888,0.891,0.89,0.897,0.888,0.875,0.887,,,0.888,,1.0,1.0,1.0,1.0,1.0,0.999,1.0,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.998,0.999,0.998,1.0,0.999,0.996,0.998,,,0.998,
LGALS1,PTPRC,0.003,0.005,,0.004,0.005,0.006,,0.005,,0.006,,0.903,0.965,,0.924,0.958,0.956,,0.946,,0.969,,0.998,0.999,,0.998,0.999,0.999,,0.999,,0.999,,0.022,0.024,,0.023,0.024,0.024,,0.023,,0.024,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.983,0.988,,0.983,0.987,0.987,,0.985,,0.988,,0.871,0.893,,0.871,0.886,0.886,,0.878,,0.893,,0.999,1.0,,0.999,1.0,1.0,,0.999,,1.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.995,0.999,,0.997,0.999,0.998,,0.998,,0.999,
DCN,LRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.002,0.0,0.216,0.872,0.091,0.236,0.006,0.637,0.818,0.642,0.05,0.738,0.997,1.0,1.0,0.999,1.0,0.998,1.0,1.0,1.0,1.0,1.0,0.018,0.058,0.115,0.059,0.064,0.03,0.087,0.116,0.086,0.043,0.1,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011,0.0,0.0,0.0,0.005,0.023,0.004,0.0,0.024,0.685,0.872,0.942,0.821,0.879,0.786,0.884,0.942,0.921,0.839,0.929,0.919,0.987,0.993,0.971,0.987,0.965,0.991,0.986,0.994,0.982,0.99,0.777,0.947,0.979,0.906,0.951,0.895,0.969,0.977,0.95,0.935,0.976,0.0,0.011,0.121,0.008,0.014,0.0,0.082,0.2,0.07,0.011,0.165,0.989,1.0,1.0,0.998,1.0,0.998,1.0,1.0,1.0,1.0,1.0
LGALS1,CD69,0.003,0.005,0.005,0.005,0.005,0.005,,,,0.005,,0.93,0.958,0.953,0.943,0.963,0.959,,,,0.964,,0.999,0.999,0.999,0.999,0.999,0.999,,,,0.999,,0.023,0.024,0.024,0.024,0.024,0.024,,,,0.024,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.985,0.988,0.987,0.985,0.987,0.987,,,,0.988,,0.877,0.888,0.886,0.878,0.893,0.886,,,,0.888,,0.999,1.0,1.0,0.999,1.0,1.0,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.997,0.998,0.999,0.998,0.999,0.998,,,,0.999,
LGALS1,BCL2,0.005,0.005,,0.005,0.005,0.005,,,,0.005,,0.944,0.963,,0.955,0.962,0.958,,,,0.957,,0.999,0.999,,0.999,0.999,0.999,,,,0.999,,0.024,0.024,,0.024,0.024,0.024,,,,0.024,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.987,0.988,,0.987,0.987,0.987,,,,0.987,,0.884,0.893,,0.886,0.888,0.886,,,,0.887,,0.999,1.0,,0.999,1.0,1.0,,,,1.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.998,0.999,,0.998,0.999,0.998,,,,0.998,
