,,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,CD8 T,DC,DC,DC,DC,DC,DC,DC,DC,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T
,,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,CD8 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGALS1,ITGB1,0.814,0.849,0.86,0.903,0.874,0.859,0.885,0.893,0.172,0.221,0.238,0.373,0.248,0.219,0.295,0.321,0.987,0.995,0.997,0.999,0.999,0.996,0.999,1.0,0.134,0.167,0.168,0.209,0.175,0.169,0.187,0.192,0.687,0.819,0.837,0.924,0.848,0.813,0.895,0.905,0.001,0.005,0.008,0.023,0.009,0.006,0.014,0.016,0.185,0.267,0.291,0.506,0.32,0.257,0.366,0.433,0.188,0.257,0.277,0.423,0.283,0.253,0.324,0.358
LGALS1,STAT3,0.845,0.865,0.861,0.869,0.876,0.88,0.875,0.87,0.207,0.237,0.225,0.265,0.278,0.285,0.265,0.253,0.996,0.998,0.997,0.999,0.999,0.999,0.998,0.998,0.158,0.176,0.172,0.178,0.182,0.183,0.18,0.176,0.798,0.846,0.823,0.859,0.875,0.882,0.869,0.86,0.005,0.01,0.007,0.01,0.011,0.011,0.011,0.01,0.238,0.299,0.27,0.332,0.351,0.363,0.333,0.322,0.231,0.285,0.263,0.298,0.304,0.318,0.3,0.29
SFRP4,WNT5A,0.18,0.185,0.193,,0.194,0.199,0.202,0.2,0.005,0.005,0.005,,0.005,0.005,0.005,0.006,0.682,0.682,0.712,,0.729,0.745,0.755,0.76,0.221,0.219,0.238,,0.239,0.243,0.248,0.253,0.725,0.721,0.772,,0.772,0.799,0.808,0.811,0.797,0.799,0.828,,0.843,0.845,0.857,0.86,0.537,0.523,0.598,,0.605,0.632,0.632,0.644,0.508,0.494,0.541,,0.541,0.56,0.565,0.568
MYL9,CD69,,0.87,,,0.877,0.871,0.878,0.872,,0.966,,,0.968,0.968,0.968,0.967,,0.996,,,0.997,0.996,0.996,0.996,,0.72,,,0.725,0.722,0.724,0.72,,0.378,,,0.392,0.381,0.388,0.379,,0.0,,,0.0,0.0,0.0,0.0,,0.617,,,0.619,0.617,0.623,0.619,,0.129,,,0.135,0.129,0.135,0.13
SFRP4,FZD6,0.182,0.189,0.195,,0.195,0.194,0.195,0.197,0.004,0.005,0.005,,0.005,0.005,0.005,0.005,0.679,0.718,0.731,,0.731,0.731,0.74,0.743,0.218,0.234,0.238,,0.241,0.238,0.243,0.243,0.724,0.759,0.786,,0.789,0.783,0.794,0.794,0.793,0.823,0.841,,0.845,0.844,0.849,0.85,0.528,0.58,0.609,,0.614,0.61,0.623,0.623,0.5,0.53,0.55,,0.548,0.549,0.553,0.555
SFRP4,FZD3,0.182,0.193,0.193,0.19,0.194,0.192,0.193,0.195,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.682,0.733,0.727,0.725,0.731,0.735,0.733,0.736,0.217,0.24,0.239,0.24,0.241,0.24,0.239,0.24,0.719,0.789,0.784,0.776,0.787,0.781,0.785,0.791,0.797,0.843,0.841,0.831,0.846,0.844,0.843,0.845,0.523,0.614,0.611,0.604,0.617,0.615,0.611,0.614,0.496,0.548,0.544,0.538,0.549,0.548,0.548,0.548
SFRP4,FZD1,0.187,0.194,0.195,0.189,0.196,0.189,0.197,0.191,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.71,0.736,0.733,0.725,0.737,0.717,0.74,0.727,0.226,0.242,0.242,0.229,0.241,0.235,0.241,0.239,0.745,0.788,0.786,0.773,0.794,0.764,0.796,0.774,0.82,0.842,0.843,0.83,0.847,0.829,0.847,0.835,0.566,0.62,0.622,0.591,0.616,0.586,0.624,0.593,0.522,0.554,0.552,0.532,0.551,0.534,0.553,0.536
MIF,CD74,0.002,0.001,0.002,0.081,0.198,0.103,0.035,0.116,0.001,0.0,0.003,0.191,0.756,0.446,0.129,0.438,0.011,0.005,0.1,0.379,1.0,0.975,0.876,0.961,0.01,0.029,0.083,0.302,0.837,0.659,0.447,0.655,0.01,0.007,0.103,0.406,0.998,0.992,0.939,0.99,0.005,0.001,0.014,0.283,0.984,0.799,0.593,0.823,0.01,0.0,0.024,0.341,0.996,0.941,0.721,0.932,0.013,0.012,0.121,0.402,1.0,0.99,0.932,0.969
