,,B,B,B,B,B,B,B,B,B,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,CD4 T,DC,DC,DC,DC,DC,DC,DC,DC,DC,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-C,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,Mono-NC,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16+,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,NK-CD16-,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,TRM,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T,γδ T
,,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T,B,CD4 T,DC,Mono-C,Mono-NC,NK-CD16+,NK-CD16-,TRM,γδ T
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGALS1,ITGB1,0.665,0.827,0.793,0.57,0.767,0.692,0.893,0.516,0.911,0.337,0.514,0.485,0.275,0.455,0.389,0.619,0.249,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922,0.954,0.948,0.899,0.945,0.928,0.973,0.895,0.972,0.06,0.065,0.065,0.052,0.063,0.058,0.075,0.054,0.075,0.577,0.664,0.632,0.547,0.629,0.601,0.708,0.532,0.721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008,0.011,0.01,0.008,0.01,0.008,0.014,0.006,0.014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGALS1,STAT3,0.769,0.768,0.762,0.723,0.818,0.801,0.793,0.711,0.774,0.45,0.444,0.429,0.388,0.496,0.476,0.469,0.382,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941,0.944,0.939,0.932,0.954,0.949,0.946,0.93,0.942,0.063,0.064,0.064,0.06,0.065,0.066,0.066,0.061,0.064,0.628,0.626,0.619,0.597,0.657,0.645,0.645,0.593,0.631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,0.01,0.009,0.009,0.01,0.01,0.009,0.009,0.009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGALS1,BCL2,0.757,0.763,0.802,0.736,0.754,0.775,0.788,0.753,0.779,0.43,0.44,0.486,0.411,0.441,0.462,0.463,0.426,0.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,0.939,0.952,0.935,0.939,0.943,0.943,0.942,0.944,0.063,0.064,0.066,0.062,0.063,0.063,0.066,0.062,0.064,0.618,0.624,0.651,0.611,0.627,0.638,0.637,0.615,0.635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009,0.009,0.011,0.009,0.01,0.009,0.01,0.01,0.009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LGALS1,PTPRC,0.77,0.768,0.765,0.755,0.708,0.758,,0.75,0.77,0.448,0.444,0.442,0.429,0.379,0.43,,0.423,0.446,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.942,0.942,0.94,0.937,0.933,0.937,,0.937,0.941,0.064,0.064,0.064,0.063,0.059,0.063,,0.062,0.063,0.629,0.626,0.624,0.615,0.586,0.616,,0.613,0.628,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.01,0.01,0.009,0.009,0.009,0.009,,0.009,0.01,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
LGALS1,CD69,0.765,0.765,0.764,0.762,,0.765,,0.767,0.769,0.441,0.44,0.442,0.439,,0.445,,0.445,0.447,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.939,0.94,0.939,0.937,,0.939,,0.94,0.942,0.063,0.063,0.063,0.064,,0.063,,0.064,0.064,0.624,0.625,0.624,0.625,,0.622,,0.626,0.627,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,0.009,0.009,0.009,0.01,,0.009,,0.009,0.009,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0
LGALS1,RET,0.765,,,,,,,,,0.441,,,,,,,,,0.0,,,,,,,,,0.939,,,,,,,,,0.063,,,,,,,,,0.624,,,,,,,,,1.0,,,,,,,,,0.009,,,,,,,,,1.0,,,,,,,,
S100A6,ESR1,0.178,0.16,0.08,0.124,0.069,0.18,0.17,0.11,0.184,0.983,0.975,0.942,0.968,0.929,0.986,0.978,0.967,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,0.642,0.573,0.613,0.552,0.647,0.645,0.607,0.654,0.014,0.014,0.013,0.013,0.011,0.014,0.015,0.014,0.016,0.38,0.374,0.321,0.353,0.305,0.384,0.379,0.337,0.394,0.911,0.909,0.869,0.891,0.866,0.91,0.907,0.882,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S100A6,PTK2,0.156,0.17,0.167,0.136,0.108,0.153,0.151,0.162,0.161,0.975,0.981,0.98,0.97,0.96,0.975,0.975,0.977,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629,0.64,0.646,0.619,0.593,0.63,0.636,0.633,0.64,0.014,0.014,0.014,0.014,0.013,0.013,0.014,0.014,0.014,0.362,0.374,0.377,0.352,0.338,0.369,0.366,0.368,0.372,0.901,0.909,0.911,0.891,0.884,0.902,0.9,0.9,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TP53,HSPA1A,0.951,0.966,0.001,0.353,0.049,0.288,0.837,0.0,0.997,0.961,0.972,0.001,0.361,0.049,0.294,0.854,0.0,0.999,0.953,0.969,0.001,0.354,0.05,0.291,0.837,0.0,0.997,0.942,0.961,0.001,0.351,0.049,0.279,0.824,0.0,0.996,0.944,0.967,0.001,0.346,0.049,0.289,0.833,0.0,0.997,0.941,0.961,0.001,0.346,0.049,0.28,0.824,0.0,0.997,0.965,0.974,0.001,0.367,0.049,0.3,0.86,0.0,0.999,0.949,0.964,0.001,0.351,0.049,0.287,0.833,0.0,0.998,0.962,0.977,0.001,0.364,0.049,0.301,0.859,0.0,0.999
IGFBP7,NEO1,0.625,0.639,0.64,0.668,0.639,0.655,0.66,0.63,0.663,0.993,0.994,0.993,0.994,0.995,0.994,0.993,0.993,0.995,0.006,0.006,0.006,0.007,0.005,0.008,0.006,0.006,0.007,0.013,0.014,0.013,0.014,0.013,0.014,0.014,0.014,0.014,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.042,0.044,0.044,0.044,0.044,0.045,0.043,0.043,0.044,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
